uid,facilityInternal,agencyInternal,agencyFullNameInternal,stateInternal,company,canonicalFacilityId,created,hidden_override,notes,googlePlaceName,address,longitude,latitude,county,googlePlaceId,state
3cb3934041e5da,Flambeau Correctional Center - FCC,WIDOC,Wisconsin Department of Corrections - WIDOC,WI,ICS,10063,2021-03-06T02:50:23.450Z,false,,Flambeau Correctional Center,"N671 Co Rd M, Winter, WI 54896, United States",-90.740935,45.656576,Sawyer County,ChIJx3n4LFu5q1IRiIxuGsjCLOM,WI
503b630b5b26b7,Felmers O. Chaney Correctional Center - FOCCC,WIDOC,Wisconsin Department of Corrections - WIDOC,WI,ICS,10064,2021-03-06T02:50:24.063Z,false,,Felmers O. Chaney Correctional Center,"2825 N 30th St, Milwaukee, WI 53210, United States",-87.95187659999999,43.070132,Milwaukee County,ChIJsQQYlvIbBYgR6qYb8d_2kok,WI
ecdd101cde3b97,Racine Youthful Offenders Correctional Facility -RYOCF,WIDOC,Wisconsin Department of Corrections - WIDOC,WI,ICS,10065,2021-03-06T02:50:24.797Z,false,,Racine Youthful Offender Correctional Facility,"1501 Albert St, Racine, WI 53404, United States",-87.7993116,42.7369827,Racine County,ChIJOwT96bxDBYgRsrVnqy0inA4,WI
6ef12307c7a25f,TDCJ - WYNNE,,,TX,SECURUS,9906,2021-01-09T02:24:52.575Z,false,,Wynne Unit,"810 Farm to Market Rd 2821, Huntsville, TX 77320, United States",-95.5764671,30.7404707,Walker County,ChIJbYJEytEHR4YRUjqrts6u51Y,TX
2a79c6dee46627,Gordon Correctional Center - GCC,WIDOC,Wisconsin Department of Corrections - WIDOC,WI,ICS,10066,2021-03-06T02:50:27.990Z,false,,Gordon Correctional Center,"10401 Co Rd G, Gordon, WI 54838, United States",-91.7540128,46.2324103,Douglas County,ChIJhzoPK9GCrlIRJBYWOCFAieI,WI
16b314aa0310bf,Sturtevant Transitional Facility - STF,WIDOC,Wisconsin Department of Corrections - WIDOC,WI,ICS,10067,2021-03-06T02:50:30.176Z,false,,Sturtevant Transitional Facility,"9351 Rayne Rd, Sturtevant, WI 53177, United States",-87.8987349,42.71312590000001,Racine County,ChIJwZkcr_ZoBYgRod1oZoZeUmE,WI
e2f3eee4d1085b,Wisconsin Secure Program Facility - WSPF,WIDOC,Wisconsin Department of Corrections - WIDOC,WI,ICS,10068,2021-03-06T02:50:31.770Z,false,,Wisconsin Secure Program Facility,"1101 Morrison Dr, Boscobel, WI 53805, United States",-90.68297299999999,43.1432007,Grant County,ChIJh_uAANH4_IcRclJ-9a03La8,WI
20ba1e4f5849b0,Green Bay Correctional Institution - GBCI,WIDOC,Wisconsin Department of Corrections - WIDOC,WI,ICS,10069,2021-03-06T02:50:32.869Z,false,,Green Bay Correctional Institution,"2833 Riverside Dr, Allouez, WI 54301, United States",-88.03717549999999,44.4705164,Brown County,ChIJOWkXCm77AogRw4wMEJBJquk,WI
74a840b8a48b09,Taycheedah Correctional Institution - TCI,WIDOC,Wisconsin Department of Corrections - WIDOC,WI,ICS,10070,2021-03-06T02:50:33.864Z,false,,Taycheedah Correctional Institution,"751 Co Rd K, Fond du Lac, WI 54937, United States",-88.3883666,43.7982215,Fond du Lac County,ChIJw3ZVJeuJA4gRwNRhkQrpWno,WI
5e9320fdbdfa96,Oshkosh Correctional Institution - OSCI,WIDOC,Wisconsin Department of Corrections - WIDOC,WI,ICS,10071,2021-03-06T02:50:34.530Z,false,,Oshkosh Correctional Institution,"1730 W Snell Rd, Oshkosh, WI 54901, United States",-88.5615462,44.0692813,Winnebago County,ChIJNUnwYPPpA4gRpDulw37AdWA,WI
00218131eb2a1d,Columbia Correctional Institution - CCI,WIDOC,Wisconsin Department of Corrections - WIDOC,WI,ICS,10072,2021-03-06T02:50:35.297Z,false,,Columbia Correctional Institution,"2925 Columbia Dr #127, Portage, WI 53901, United States",-89.49059969999999,43.5664078,Columbia County,ChIJf5fYm-5G74gRnyfZgdqliJg,WI
d95679374a50d1,MSP-Minimal Services,MTDOC,Montana Department of Corrections,MT,ICS,,2021-03-06T02:49:13.286Z,false,,,,,,,,MT
678bea7715e208,Riverside Reentry Program,MTDOC,Montana Department of Corrections,MT,ICS,,2021-03-06T02:49:18.595Z,false,,,,,,,,MT
0ae5537691080c,New Lisbon Correctional Institution - NLCI,WIDOC,Wisconsin Department of Corrections - WIDOC,WI,ICS,10073,2021-03-06T02:50:35.967Z,false,,New Lisbon Correctional Institution,"2000 Progress Rd, New Lisbon, WI 53950, United States",-90.13177499999999,43.8811854,Juneau County,ChIJz3Sj8-kF_ocRYTqqUYL8URI,WI
69a20fa0d6100f,Lincoln Hills School/Copper Lake School - LHS/CLS,WIDOC,Wisconsin Department of Corrections - WIDOC,WI,ICS,10074,2021-03-06T02:50:37.318Z,false,,Lincoln Hills School,"W4380 Copper Lake Ave, Irma, WI 54442, United States",-89.63968779999999,45.3264716,Lincoln County,ChIJk9TtV7kVVU0RfAJrgI4Msec,WI
2089b6275943d2,Saint Croix Correctional Center - SCCC,WIDOC,Wisconsin Department of Corrections - WIDOC,WI,ICS,10075,2021-03-06T02:50:39.236Z,false,,St. Croix Correctional Center,"1859 N 4th St, New Richmond, WI 54017, United States",-92.57063439999999,45.1304917,St. Croix County,ChIJZTHIhe2lslIRHBiuAAOtw_k,WI
576b67a3030d0c,Racine Correctional Institution - RCI,WIDOC,Wisconsin Department of Corrections - WIDOC,WI,ICS,10076,2021-03-06T02:50:40.520Z,false,,Racine Correctional Institution,"2019 Wisconsin St, Sturtevant, WI 53177, United States",-87.9022158,42.71073759999999,Racine County,ChIJmV1_sJJoBYgRFrD8QVRFwQ0,WI
87c57016ec3e0c,RACINE COUNTY JAIL - DOC INMATES,,,WI,SECURUS,10077,2021-01-09T17:11:22.131Z,false,,Racine Correctional Institution,"2019 Wisconsin St, Sturtevant, WI 53177, United States",-87.9022158,42.71073759999999,Racine County,ChIJmV1_sJJoBYgRFrD8QVRFwQ0,WI
3524da1670c060,Black River Falls Correctional Center - BRCC,WIDOC,Wisconsin Department of Corrections - WIDOC,WI,ICS,10078,2021-03-06T02:50:41.132Z,false,,Black River Correctional Center,"W6898 E Staffon Rd #507, Black River Falls, WI 54615, United States",-90.6521839,44.3577855,Jackson County,ChIJ6Y65H37-_ocRh0zpa_8ZyNM,WI
34f025db3bbe50,Stanley Correctional Institution - SCI,WIDOC,Wisconsin Department of Corrections - WIDOC,WI,ICS,10079,2021-03-06T02:50:41.922Z,false,,Stanley Correctional Institution,"100 Corrections Dr, Stanley, WI 54768, United States",-90.95181769999999,44.9478946,Chippewa County,ChIJ57htRPBe_4cRkDz9pqIcopI,WI
6309993106d1ab,MO DOC - ALGOA CORRECTIONAL CENTER,,,MO,SECURUS,10080,2021-01-09T00:13:30.602Z,false,,Algoa Correctional Center,"8501 No More Victims Rd, Jefferson City, MO 65101, United States",-92.05238039999999,38.5525913,Cole County,ChIJz2PACQpk24cR1e4qAdCN_y0,MO
586b4b66706cf5,MO DOC - BOONVILLE CORRECTIONAL CENTER,,,MO,SECURUS,10081,2021-01-09T00:13:38.927Z,false,,Boonville Correctional Center,"1216 E Morgan St, Boonville, MO 65233, United States",-92.7295772,38.97753609999999,Cooper County,ChIJS2G_Qw0_w4cRaXiEtN4NCx8,MO
54603fe403ab90,MO DOC - JEFFERSON CITY CORRECTIONAL CENTER,,,MO,SECURUS,10082,2021-01-09T00:14:32.874Z,false,,Jefferson City Correctional Center,"8200 No More Victims Rd, Jefferson City, MO 65101, United States",-92.0482689,38.5493905,Cole County,ChIJ0TM-s61m24cRgpXGuWpSCSI,MO
21924e437d9216,MO DOC - MARYVILLE TREATMENT CENTER,,,MO,SECURUS,10083,2021-01-09T00:14:50.214Z,false,,Maryville Treatment Center,"30227 US Hwy 136, Maryville, MO 64468, United States",-94.8148081,40.3455103,Nodaway County,ChIJk3XAi9fE6ocRppzkLOTFeHQ,MO
efc84dcd7606a3,MO DOC - MOBERLY CORRECTIONAL CENTER,,,MO,SECURUS,10084,2021-01-09T00:15:13.113Z,false,,Moberly Correctional Center,"5201 S Morley St, Moberly, MO 65270, United States",-92.43768,39.3632281,Randolph County,ChIJxyrVFWor3YcR0EXwbQJ0vH8,MO
078035fab118c1,MO DOC - NORTHEAST CORRECTIONAL CENTER,,,MO,SECURUS,10085,2021-01-09T00:15:21.795Z,false,,Northeast Correctional Center,"13698 Airport Rd, Bowling Green, MO 63334, United States",-91.22522230000001,39.3697058,Pike County,ChIJpUJjVpfV3YcRO20i60vR_9w,MO
17831b87c8d8c2,MO DOC - OZARK CORRECTIONAL CENTER,,,MO,SECURUS,10086,2021-01-09T00:15:30.304Z,false,,Ozark Correctional Center,"929 Honor Camp Ln, Fordland, MO 65652, United States",-92.8766504,37.1526732,Webster County,ChIJySecqOyOz4cRrefIBRkyy-g,MO
4d85699130e0d9,MO DOC - POTOSI CORRECTIONAL CENTER,,,MO,SECURUS,10087,2021-01-09T00:15:39.633Z,false,,Potosi Correctional Center,"11593 State Highway O, Mineral Point, MO 63660, United States",-90.73620969999999,37.9360578,Washington County,ChIJHxJIRCOo2YcRgrLaIV7VM0U,MO
ebad5a79ac6361,OTERO COUNTY JAIL,,,NM,SECURUS,9989,2021-01-09T00:32:13.831Z,false,,Otero County Detention Center,"1958 Dr M.L.K. Jr. Dr, Alamogordo, NM 88310, United States",-106.0078373,32.8521564,Otero County,ChIJvW1NknxQ4IYRZ71_RTx4t_k,NM
dad75a1716bc3f,MO DOC - SOUTH CENTRAL CORRECTIONAL CENTER,,,MO,SECURUS,10088,2021-01-09T00:15:48.030Z,false,,South Central Correctional Center,"255 MO-32, Licking, MO 65542, United States",-91.87332819999999,37.5050698,Texas County,ChIJVVeJNgGJ2ocRcddFkCQzlSo,MO
aa7e8ffa714561,MO DOC - SOUTHEAST CORRECTIONAL CENTER,,,MO,SECURUS,10089,2021-01-09T00:15:57.432Z,false,,Southeast Correctional Center,"300 Pedro Simmons Dr, Charleston, MO 63834, United States",-89.3509912,36.8951267,Mississippi County,ChIJl0Iuyly0eYgRkHmGPWTZvXM,MO
474c864aa33995,MO DOC - TIPTON CORRECTIONAL CENTER,,,MO,SECURUS,10090,2021-01-09T00:16:06.995Z,false,,Tipton Correctional Center,"619 N Osage Ave, Tipton, MO 65081, United States",-92.7801203,38.6668734,Moniteau County,ChIJwZoeL4Jgw4cRfTJYKtEK07M,MO
17322c62d71077,LAKE COUNTY DETENTION FACILITY,,,MT,SECURUS,10091,2021-01-09T00:19:45.013Z,false,,Lake County Jail,"106 4th Ave E, Polson, MT 59860, United States",-114.1611568,47.6918255,Lake County,ChIJ2UkuUY5zZ1MRZtteE94nLc4,MT
a2cafc86bb8073,HALL COUNTY DOC,,,NE,SECURUS,10092,2021-01-09T00:21:15.816Z,false,,Hall County Department of Corrections,"110 Public Safety Dr, Grand Island, NE 68801, United States",-98.3281195,40.9268708,Hall County,ChIJUdu4_TiGmYcRePtRFouF4vU,NE
2bebe805a543e5,CLARK COUNTY TUCKER HOLDING FACILITY,,,NV,SECURUS,10093,2021-01-09T00:22:19.071Z,false,,Clark County Detention Center,"330 S Casino Center Blvd, Las Vegas, NV 89101, United States",-115.1470721,36.1675119,Clark County,ChIJrZ3SKJ_DyIARRVjcjaD7pjQ,NV
b9de1f92e1b801,LAS VEGAS CITY CORRECTIONAL CENTER CLARK,,,NV,SECURUS,10094,2021-01-09T00:23:07.775Z,false,,Clark County Detention Center,"330 S Casino Center Blvd, Las Vegas, NV 89101, United States",-115.1470721,36.1675119,Clark County,ChIJrZ3SKJ_DyIARRVjcjaD7pjQ,NV
bc258f862efe71,LINCOLN COUNTY JAIL,,,NV,SECURUS,10095,2021-01-09T00:23:17.114Z,false,,Lincoln County Detention Center,"225 Justice Way, Pioche, NV 89043, United States",-114.4420318,37.9425239,Lincoln County,ChIJ3wn3vWhhtoARj2z4HLB35Nw,NV
8e641dea1b38f7,NV DOC - CARLIN CONSERVATION CAMP,,,NV,SECURUS,10096,2021-01-09T00:24:08.776Z,false,,Carlin Conservation Camp,"124 Suzie Creek Rd, Carlin, NV 89822, United States",-116.0836029,40.7280349,Elko County,ChIJjxSHp4DfpYARJS3ZdurqR8M,NV
a096af0e56d4f6,NV DOC - FLORENCE MCCLURE WOMENS CORRECTIONAL CENTER,,,NV,SECURUS,10098,2021-01-09T00:24:45.262Z,false,,Florence McClure Women's Correctional Center,"4370 Smiley Rd, Las Vegas, NV 89115, United States",-115.0767169,36.2573853,Clark County,ChIJLTSeEO7nyIARy8aBVVwdhoE,NV
66e81f2afcf892,NV DOC - HUMBOLDT CONSERVATION CAMP,,,NV,SECURUS,10099,2021-01-09T00:25:06.648Z,false,,Humboldt Conservation Camp,"8105 Conservation Rd, Winnemucca, NV 89445, United States",-117.9206638,40.90046340000001,Humboldt County,ChIJpfb3ajLjoIARk1P5LN-4AAw,NV
df99696108d973,NV DOC - JEAN CONSERVATION CAMP,,,NV,SECURUS,10100,2021-01-09T00:25:17.646Z,false,,Jean Conservation Camp,"3 Prison Rd, Jean, NV 89019, United States",-115.3129549,35.77440610000001,Clark County,ChIJ_bviR45Jz4ARMQaMcra1lsU,NV
722fe0b68813d1,NV DOC - LOVELOCK CORRECTIONAL CENTER,,,NV,SECURUS,10101,2021-01-09T00:25:29.025Z,false,,Lovelock Correctional Center,"1200 Prison Rd, Lovelock, NV 89419, United States",-118.3861878,40.2227999,Pershing County,ChIJC7IQlv7zoYAR1_85LCo6PZQ,NV
6f59edb6e0120e,NV DOC - NORTHERN NEVADA CORRECTIONAL CENTER,,,NV,SECURUS,10102,2021-01-09T00:25:40.628Z,false,,Northern Nevada Correctional Center,"1721 Snyder Ave, Carson City, NV 89701, United States",-119.7442405,39.10846250000001,,ChIJSThxaqShmYAR5UL_YJqDrgg,NV
52d270fd4b8c80,NV DOC - NORTHERN NEVADA TRANSITIONAL HOUSING,,,NV,SECURUS,10103,2021-01-09T00:25:52.918Z,false,,Northern Nevada Transitional Housing,"225 Sunshine Ln, Reno, NV 89502, United States",-119.7886944,39.52706250000001,Washoe County,ChIJUTQtLlY_mYARKycfTe8lgsg,NV
1c9344f05e8bb1,NV DOC - PIOCHE CONSERVATION CAMP,,,NV,SECURUS,10104,2021-01-09T00:26:04.490Z,false,,Pioche Conservation Camp,"1 Hard Times Road, Pioche, NV 89043, United States",-114.417973,37.955602,Lincoln County,ChIJpfb3ajLjoIAR8zG1LHVbOBc,NV
f0bbbb5a2b0c2a,NV DOC - SOUTHERN DESERT CORRECTIONAL CENTER,,,NV,SECURUS,10105,2021-01-09T00:26:16.180Z,false,,Southern Desert Correctional Center,"20825 Cold Creek Rd, Las Vegas, NV 89166, United States",-115.5560704,36.5169964,Clark County,ChIJC9qrZz58yIARz6jNoyFZvAs,NV
fc1b68ae2aa83d,NV DOC - STEWART CONSERVATION CAMP,,,NV,SECURUS,10106,2021-01-09T00:26:25.012Z,false,,Stewart Conservation Camp,"1721 Snyder Ave, Carson City, NV 89701, United States",-119.7476721,39.1070476,,ChIJSThxaqShmYAR-tCEWzqg2sQ,NV
8669dca43823c9,NV DOC - WARM SPRINGS CORRECTIONAL CENTER,,,NV,SECURUS,10108,2021-01-09T00:26:51.888Z,false,,Warm Springs Correctional Center,"3301 E 5th St, Carson City, NV 89701, United States",-119.731944,39.1595681,,ChIJrUtZwo-gmYAR-aw07tfrs70,NV
8def6935c8fb96,CHESHIRE COUNTY DOC,,,NH,SECURUS,10110,2021-01-09T00:27:36.700Z,false,,Cheshire County Department of Corrections,"825 Marlboro St, Keene, NH 03431, United States",-72.23215019999999,42.9156917,Cheshire County,ChIJbemNeldx4YkRs9bIb5q9BqI,NH
b218d4925bbbdb,EDDY COUNTY ADULT DETENTION,,,NM,SECURUS,10111,2021-01-09T00:29:04.332Z,false,,Eddy County Detention Center,"201 N Main St, Carlsbad, NM 88220, United States",-104.2266071,32.4220438,Eddy County,ChIJY6lHFbh544YRbJ90mS0fySg,NM
1534f911031e25,GEO - NM DOC - LEA HOBBS COUNTY CORRECTIONAL FACILITY,,,NM,SECURUS,10112,2021-01-09T00:29:23.277Z,false,,Lea County Correctional Facility,"6900 W Millen Dr, Hobbs, NM 88240, United States",-103.2246818,32.7641665,Lea County,ChIJJ_8FMhfA_IYRZslFYuLDIZQ,NM
e6c616642d5b7a,GEO - NM DOC- GUADALUPE COUNTY CORRECTIONAL FACILITY,,,NM,SECURUS,10113,2021-01-09T00:29:31.691Z,false,,Guadalupe County Correctional Facility,"South Highway 54, Santa Rosa, NM 88435, United States",-104.7029404,34.9083019,Guadalupe County,ChIJbZG-izytpYcR54c3RF4avSc,NM
881adbd38c0425,LUNA COUNTY DETENTION FACILITY,,,NM,SECURUS,10114,2021-01-09T00:30:36.589Z,false,,Luna County Detention Center,"1700 4th St NE, Deming, NM 88030, United States",-107.7371859,32.2768342,Luna County,ChIJ-Tl9J-vD3oYRm9bTVR69z20,NM
7e143245166ed2,NM DOC - NORTHEAST NEW MEXICO DETENTION FACILITY,,,NM,SECURUS,10115,2021-01-09T00:30:58.375Z,false,,Northeast New Mexico Detention Facility,"185 Dr Michael Jenkins Rd, Clayton, NM 88415, United States",-103.122949,36.4353279,Union County,ChIJh84t9PRdBYcRuYP7avnVrhY,NM
2f8c097c4e27a2,NM DOC - ROSWELL CORRECTIONAL CENTER,,,NM,SECURUS,10116,2021-01-09T00:31:19.328Z,false,,Roswell Correctional Center,"578 W Chickasaw Rd, Hagerman, NM 88232, United States",-104.5430638,33.1408214,Chaves County,ChIJu4hPLL5F4oYRm9cylP64Ndk,NM
a3cde6d76001ca,ROOSEVELT COUNTY ADULT DETENTION CENTER,,,NM,SECURUS,10117,2021-01-09T00:32:45.989Z,false,,Roosevelt County Detention Center,"1700 N Boston Ave # C, Portales, NM 88130, United States",-103.334198,34.1978951,Roosevelt County,ChIJB70Yz2rGAocRewhtZEGinPU,NM
cfc5904a90a600,SANTA FE COUNTY ADULT DETENTION FACILITY,,,NM,SECURUS,10118,2021-01-09T00:33:15.335Z,false,,Santa Fe County Adult Correctional Facility,"28 Camino Justicia, Santa Fe, NM 87508, United States",-106.0502504,35.5628316,Santa Fe County,ChIJg_DCt9BYGIcR0A2ChpbB7PM,NM
78b39f529bd6fa,ESSEX COUNTY JAIL,,,NY,SECURUS,10119,2021-01-09T00:34:27.769Z,false,,Essex County Correctional Facility,"354 Doremus Ave, Newark, NJ 07105, United States",-74.1263218,40.7204844,Essex County,ChIJ2Wl2MeJTwokRPh0LegdbaQQ,NY
e8c00fcf57ca8e,NY DOC - ADIRONDACK CORRECTIONAL FACILITY,,,NY,SECURUS,10120,2021-01-09T00:35:15.986Z,false,,Adirondack Correctional Facility,"196 Ray Brook Rd, Ray Brook, NY 12977, United States",-74.0930449,44.2959165,Essex County,ChIJ3fL_nX4cy0wR3UkQYmHwgu8,NY
c42ef6b9db04c4,NY DOC - ALBION CORRECTIONAL FACILITY,,,NY,SECURUS,10121,2021-01-09T00:35:24.924Z,false,,Bayview Correctional Facility,"550 W 20th St, New York, NY 10011, United States",-74.0076928,40.7465398,New York County,ChIJ_5yrhMdZwokRgR8xgUZGHlM,NY
ff5bdc9eb205f1,NY DOC - FIVE POINTS CORRECTIONAL FACILITY,,,NY,SECURUS,10122,2021-01-09T00:38:11.688Z,false,,Bayview Correctional Facility,"550 W 20th St, New York, NY 10011, United States",-74.0076928,40.7465398,New York County,ChIJ_5yrhMdZwokRgR8xgUZGHlM,NY
c57a325021d426,NY DOC - GREAT MEADOW CORRECTIONAL FACILITY,,,NY,SECURUS,10123,2021-01-09T00:38:44.887Z,false,,Bayview Correctional Facility,"550 W 20th St, New York, NY 10011, United States",-74.0076928,40.7465398,New York County,ChIJ_5yrhMdZwokRgR8xgUZGHlM,NY
076b7b139a6c16,NY DOC - GROVELAND CORRECTIONAL FACILITY,,,NY,SECURUS,10124,2021-01-09T00:39:08.161Z,false,,Bayview Correctional Facility,"550 W 20th St, New York, NY 10011, United States",-74.0076928,40.7465398,New York County,ChIJ_5yrhMdZwokRgR8xgUZGHlM,NY
d68d3617ce2091,NY DOC - MORIAH SHOCK INCARCERATION CORRECTIONAL FACILITY,,,NY,SECURUS,10125,2021-01-09T00:40:27.533Z,false,,Bayview Correctional Facility,"550 W 20th St, New York, NY 10011, United States",-74.0076928,40.7465398,New York County,ChIJ_5yrhMdZwokRgR8xgUZGHlM,NY
2d0dc59045d0a9,NY DOC - ALTONA CORRECTIONAL FACILITY,,,NY,SECURUS,10126,2021-01-09T00:35:37.027Z,false,,Altona Correctional Facility,"555 Devils Den Rd, Altona, NY 12910, United States",-73.6593473,44.8916123,Clinton County,ChIJAZ-lfbfSy0wRQZh32Gff8Gw,NY
6a6e8000576db7,NY DOC - ATTICA CORRECTIONAL FACILITY,,,NY,SECURUS,10127,2021-01-09T00:35:50.252Z,false,,Attica Correctional Facility,"639 Exchange St Rd, Attica, NY 14011, United States",-78.2757215,42.8493767,Wyoming County,ChIJsfzddGbA04kRwlwKNKmznVU,NY
9eaa153162b42c,NY DOC - AUBURN CORRECTIONAL FACILITY,,,NY,SECURUS,10128,2021-01-09T00:36:01.825Z,false,,Auburn Correctional Facility,"135 State St, Auburn, NY 13024, United States",-76.57216729999999,42.9353094,Cayuga County,ChIJnyXAsD2s0IkRMxk3FcfVhEY,NY
c7041ed2ab0d03,NY DOC - CAPE VINCENT CORRECTIONAL FACILITY,,,NY,SECURUS,10129,2021-01-09T00:36:32.642Z,false,,Cape Vincent Correctional Facility,"36560 NY-12E, Cape Vincent, NY 13618, United States",-76.1883616,44.19764379999999,Jefferson County,ChIJlzJFRvxMzUwRKSG3Sck4koI,NY
c7d1a9f5210c56,NY DOC - COXSACKIE CORRECTIONAL FACILITY,,,NY,SECURUS,10130,2021-01-09T00:37:20.380Z,false,,Coxsackie Correctional Facility,"11260 Rte 9W, Coxsackie, NY 12051, United States",-73.8366866,42.343665,Greene County,ChIJE0vLh6bq3YkRW50-tirC7Kc,NY
4d19fa5dff2a33,NY DOC - DOWNSTATE CORRECTIONAL FACILITY,,,NY,SECURUS,10131,2021-01-09T00:37:28.633Z,false,,Manhattan Detention Complex,"125 White St, New York, NY 10013, United States",-74.0002524,40.716972,New York County,ChIJBWTIzyBawokRMVa1kkL9v0g,NY
16240aa95ae4bf,NY DOC - RIVERVIEW CORRECTIONAL FACILITY,,,NY,SECURUS,10132,2021-01-09T00:41:09.378Z,false,,Manhattan Detention Complex,"125 White St, New York, NY 10013, United States",-74.0002524,40.716972,New York County,ChIJBWTIzyBawokRMVa1kkL9v0g,NY
28a56c7daa4fae,NY DOC - FISHKILL CORRECTIONAL FACILITY,,,NY,SECURUS,10133,2021-01-09T00:38:03.904Z,false,,Fishkill Correctional Facility,"18 Strack Dr, Beacon, NY 12508, United States",-73.95087029999999,41.5219847,Dutchess County,ChIJUbBePDox3YkRDt8ByDAQgdM,NY
3db1a1b99a6692,NY DOC - GOUVERNEUR CORRECTIONAL FACILITY,,,NY,SECURUS,10134,2021-01-09T00:38:27.042Z,false,,Gouverneur Correctional Facility,"112 Scotch Settlement Rd, Gouverneur, NY 13642, United States",-75.442134,44.340119,St. Lawrence County,ChIJ0d5_QafdzEwRuLw9OshybFo,NY
25a6678c55410d,NY DOC - GOWANDA CORRECTIONAL FACILITY,,,NY,SECURUS,10135,2021-01-09T00:38:34.527Z,false,,Gowanda Correctional Facility,"S Rd, Gowanda, NY 14070, United States",-78.93597199999999,42.4869841,Erie County,ChIJ-_sy0wLm0okR5a-fWVkIkvk,NY
9585a4bc4ce3d2,NY DOC - GREEN HAVEN CORRECTIONAL FACILITY,,,NY,SECURUS,10136,2021-01-09T00:38:52.682Z,false,,Green Haven Correctional Facility,"594 NY-216, Stormville, NY 12582, United States",-73.71820509999999,41.5823225,Dutchess County,ChIJV2SRw9hF3YkRuzEGaQHghO4,NY
2bec2762b6f93e,NY DOC - MARCY CORRECTIONAL FACILITY,,,NY,SECURUS,10137,2021-01-09T00:39:55.604Z,false,,Marcy Correctional Facility,"9000 Old River Rd, Marcy, NY 13403, United States",-75.3079037,43.160718,Oneida County,ChIJI4bP774_2YkRd8dZNAQ-eCY,NY
3beb66b050d323,NY DOC - QUEENSBORO CORRECTIONAL FACILITY,,,NY,SECURUS,10138,2021-01-09T00:41:00.177Z,false,,Queensboro Correctional Facility,"47-04 Van Dam St, Long Island City, NY 11101, United States",-73.9341677,40.7426566,Queens County,ChIJGZMNZtNewokRnDdQ2b_VMqA,NY
