facilityInternal,agencyInternal,stateInternal,company,createdAt,googlePlaceName,address,longitude,latitude,county,googlePlaceId,state
"Crossroads Correctional Center","Arizona - Central Arizona - Florence Correctional Complex","AZ","ICS","2021-01-07T20:13:51.667Z","Crossroads Juvenile Center","17 Bristol St, Brooklyn, NY 11212, United States","-73.9128327","40.6707819","Kings County","ChIJT5PxrGBcwokR1-hWrV_xOA4","AZ"
"Saguaro-NVDOC","Arizona - Central Arizona - Florence Correctional Complex","AZ","ICS","2021-01-07T20:13:55.479Z","Saguaro Correctional Center","1250 E Arica Rd, Eloy, AZ 85131, United States","-111.5257299","32.8079801","Pinal County","ChIJLaDhVKhtKocR4Ictolqcafo","AZ"
"Saguaro Correctional Center","Arizona - Central Arizona - Florence Correctional Complex","AZ","ICS","2021-01-07T20:13:58.840Z","Saguaro Correctional Center","1250 E Arica Rd, Eloy, AZ 85131, United States","-111.5257299","32.8079801","Pinal County","ChIJLaDhVKhtKocR4Ictolqcafo","AZ"
"Central Arizona - Florence Correctional Complex","Arizona - Central Arizona - Florence Correctional Complex","AZ","ICS","2021-01-07T20:14:02.147Z","CCA Central Arizona Detention Center","1155 N Pinal Pkwy Ave, Florence, AZ 85132, United States","-111.3775177","33.0407485","Pinal County","ChIJ5_AeCB08KocRMs6pCNP1JHk","AZ"
"Saguaro-USMS","Arizona - Central Arizona - Florence Correctional Complex","AZ","ICS","2021-01-07T20:14:06.862Z","Saguaro Correctional Center","1250 E Arica Rd, Eloy, AZ 85131, United States","-111.5257299","32.8079801","Pinal County","ChIJLaDhVKhtKocR4Ictolqcafo","AZ"
"Central Arizona - Florence NVDOC","Arizona - Saguaro Correctional Center","AZ","ICS","2021-01-07T20:14:15.957Z","CCA Central Arizona Detention Center","1155 N Pinal Pkwy Ave, Florence, AZ 85132, United States","-111.3775177","33.0407485","Pinal County","ChIJ5_AeCB08KocRMs6pCNP1JHk","AZ"
"Crossroads Correctional Center","Arizona - Saguaro Correctional Center","AZ","ICS","2021-01-07T20:14:19.555Z","Crossroads Juvenile Center","17 Bristol St, Brooklyn, NY 11212, United States","-73.9128327","40.6707819","Kings County","ChIJT5PxrGBcwokR1-hWrV_xOA4","AZ"
"Saguaro-NVDOC","Arizona - Saguaro Correctional Center","AZ","ICS","2021-01-07T20:14:24.117Z","Saguaro Correctional Center","1250 E Arica Rd, Eloy, AZ 85131, United States","-111.5257299","32.8079801","Pinal County","ChIJLaDhVKhtKocR4Ictolqcafo","AZ"
"Saguaro Correctional Center","Arizona - Saguaro Correctional Center","AZ","ICS","2021-01-07T20:14:27.248Z","Saguaro Correctional Center","1250 E Arica Rd, Eloy, AZ 85131, United States","-111.5257299","32.8079801","Pinal County","ChIJLaDhVKhtKocR4Ictolqcafo","AZ"
"Central Arizona - Florence Correctional Complex","Arizona - Saguaro Correctional Center","AZ","ICS","2021-01-07T20:14:30.866Z","CCA Central Arizona Detention Center","1155 N Pinal Pkwy Ave, Florence, AZ 85132, United States","-111.3775177","33.0407485","Pinal County","ChIJ5_AeCB08KocRMs6pCNP1JHk","AZ"
"Saguaro-USMS","Arizona - Saguaro Correctional Center","AZ","ICS","2021-01-07T20:14:35.055Z","Saguaro Correctional Center","1250 E Arica Rd, Eloy, AZ 85131, United States","-111.5257299","32.8079801","Pinal County","ChIJLaDhVKhtKocR4Ictolqcafo","AZ"
"Central Arizona - Florence NVDOC","Arizona - Saguaro-NVDOC","AZ","ICS","2021-01-07T20:14:43.750Z","CCA Central Arizona Detention Center","1155 N Pinal Pkwy Ave, Florence, AZ 85132, United States","-111.3775177","33.0407485","Pinal County","ChIJ5_AeCB08KocRMs6pCNP1JHk","AZ"
"Crossroads Correctional Center","Arizona - Saguaro-NVDOC","AZ","ICS","2021-01-07T20:14:45.964Z","Crossroads Juvenile Center","17 Bristol St, Brooklyn, NY 11212, United States","-73.9128327","40.6707819","Kings County","ChIJT5PxrGBcwokR1-hWrV_xOA4","AZ"
"Saguaro-NVDOC","Arizona - Saguaro-NVDOC","AZ","ICS","2021-01-07T20:14:49.962Z","Saguaro Correctional Center","1250 E Arica Rd, Eloy, AZ 85131, United States","-111.5257299","32.8079801","Pinal County","ChIJLaDhVKhtKocR4Ictolqcafo","AZ"
"Saguaro Correctional Center","Arizona - Saguaro-NVDOC","AZ","ICS","2021-01-07T20:14:53.169Z","Saguaro Correctional Center","1250 E Arica Rd, Eloy, AZ 85131, United States","-111.5257299","32.8079801","Pinal County","ChIJLaDhVKhtKocR4Ictolqcafo","AZ"
"Central Arizona - Florence Correctional Complex","Arizona - Saguaro-NVDOC","AZ","ICS","2021-01-07T20:14:57.058Z","CCA Central Arizona Detention Center","1155 N Pinal Pkwy Ave, Florence, AZ 85132, United States","-111.3775177","33.0407485","Pinal County","ChIJ5_AeCB08KocRMs6pCNP1JHk","AZ"
"Saguaro-USMS","Arizona - Saguaro-NVDOC","AZ","ICS","2021-01-07T20:15:00.963Z","Saguaro Correctional Center","1250 E Arica Rd, Eloy, AZ 85131, United States","-111.5257299","32.8079801","Pinal County","ChIJLaDhVKhtKocR4Ictolqcafo","AZ"
"Central Arizona - Florence NVDOC","Arizona - Saguaro-USMS","AZ","ICS","2021-01-07T20:15:10.473Z","CCA Central Arizona Detention Center","1155 N Pinal Pkwy Ave, Florence, AZ 85132, United States","-111.3775177","33.0407485","Pinal County","ChIJ5_AeCB08KocRMs6pCNP1JHk","AZ"
"Crossroads Correctional Center","Arizona - Saguaro-USMS","AZ","ICS","2021-01-07T20:15:13.186Z","Crossroads Juvenile Center","17 Bristol St, Brooklyn, NY 11212, United States","-73.9128327","40.6707819","Kings County","ChIJT5PxrGBcwokR1-hWrV_xOA4","AZ"
"Saguaro-NVDOC","Arizona - Saguaro-USMS","AZ","ICS","2021-01-07T20:15:16.947Z","Saguaro Correctional Center","1250 E Arica Rd, Eloy, AZ 85131, United States","-111.5257299","32.8079801","Pinal County","ChIJLaDhVKhtKocR4Ictolqcafo","AZ"
"Saguaro Correctional Center","Arizona - Saguaro-USMS","AZ","ICS","2021-01-07T20:15:20.451Z","Saguaro Correctional Center","1250 E Arica Rd, Eloy, AZ 85131, United States","-111.5257299","32.8079801","Pinal County","ChIJLaDhVKhtKocR4Ictolqcafo","AZ"
"Central Arizona - Florence Correctional Complex","Arizona - Saguaro-USMS","AZ","ICS","2021-01-07T20:15:23.161Z","CCA Central Arizona Detention Center","1155 N Pinal Pkwy Ave, Florence, AZ 85132, United States","-111.3775177","33.0407485","Pinal County","ChIJ5_AeCB08KocRMs6pCNP1JHk","AZ"
"Saguaro-USMS","Arizona - Saguaro-USMS","AZ","ICS","2021-01-07T20:15:26.262Z","Saguaro Correctional Center","1250 E Arica Rd, Eloy, AZ 85131, United States","-111.5257299","32.8079801","Pinal County","ChIJLaDhVKhtKocR4Ictolqcafo","AZ"
"Central Arizona - Florence NVDOC","Arizona - Central Arizona - Florence NVDOC","AZ","ICS","2021-01-07T20:15:35.459Z","CCA Central Arizona Detention Center","1155 N Pinal Pkwy Ave, Florence, AZ 85132, United States","-111.3775177","33.0407485","Pinal County","ChIJ5_AeCB08KocRMs6pCNP1JHk","AZ"
"Crossroads Correctional Center","Arizona - Central Arizona - Florence NVDOC","AZ","ICS","2021-01-07T20:15:38.350Z","Crossroads Juvenile Center","17 Bristol St, Brooklyn, NY 11212, United States","-73.9128327","40.6707819","Kings County","ChIJT5PxrGBcwokR1-hWrV_xOA4","AZ"
"Saguaro-NVDOC","Arizona - Central Arizona - Florence NVDOC","AZ","ICS","2021-01-07T20:15:42.763Z","Saguaro Correctional Center","1250 E Arica Rd, Eloy, AZ 85131, United States","-111.5257299","32.8079801","Pinal County","ChIJLaDhVKhtKocR4Ictolqcafo","AZ"
"Saguaro Correctional Center","Arizona - Central Arizona - Florence NVDOC","AZ","ICS","2021-01-07T20:15:46.175Z","Saguaro Correctional Center","1250 E Arica Rd, Eloy, AZ 85131, United States","-111.5257299","32.8079801","Pinal County","ChIJLaDhVKhtKocR4Ictolqcafo","AZ"
"Central Arizona - Florence Correctional Complex","Arizona - Central Arizona - Florence NVDOC","AZ","ICS","2021-01-07T20:15:49.947Z","CCA Central Arizona Detention Center","1155 N Pinal Pkwy Ave, Florence, AZ 85132, United States","-111.3775177","33.0407485","Pinal County","ChIJ5_AeCB08KocRMs6pCNP1JHk","AZ"
"Saguaro-USMS","Arizona - Central Arizona - Florence NVDOC","AZ","ICS","2021-01-07T20:15:56.870Z","Saguaro Correctional Center","1250 E Arica Rd, Eloy, AZ 85131, United States","-111.5257299","32.8079801","Pinal County","ChIJLaDhVKhtKocR4Ictolqcafo","AZ"
"Leavenworth Detention Center","Arizona - La Palma Correctional Center","AZ","ICS","2021-01-07T20:16:07.475Z","CCA Central Arizona Detention Center","1155 N Pinal Pkwy Ave, Florence, AZ 85132, United States","-111.3775177","33.0407485","Pinal County","ChIJ5_AeCB08KocRMs6pCNP1JHk","AZ"
"Silverdale Detention Facilities","Arizona - La Palma Correctional Center","AZ","ICS","2021-01-07T20:16:14.058Z","Saguaro Correctional Center","1250 E Arica Rd, Eloy, AZ 85131, United States","-111.5257299","32.8079801","Pinal County","ChIJLaDhVKhtKocR4Ictolqcafo","AZ"
"Tallahatchie  MSDOC","Arizona - La Palma Correctional Center","AZ","ICS","2021-01-07T20:16:17.635Z","Arizona Department of Corrections","1601 W Jefferson St, Phoenix, AZ 85007, United States","-112.0942104","33.4465846","Maricopa County","ChIJVxqYtywSK4cRDAo-AAXRcdM","AZ"
"Hardeman County Correctional Center","Arizona - La Palma Correctional Center","AZ","ICS","2021-01-07T20:16:21.404Z","Hardeman County Correctional","2520 Union Springs Rd, Whiteville, TN 38075, United States","-89.1600838","35.2872178","Hardeman County","ChIJmXcodRH0fogRyVV7eNdA6_g","AZ"
"La Palma Correctional Center","Arizona - La Palma Correctional Center","AZ","ICS","2021-01-07T20:16:25.059Z","La Palma Correctional Center","5501 N La Palma Rd, Eloy, AZ 85131, United States","-111.528815","32.8144856","Pinal County","ChIJzZva9KptKocRrrZzSBkMOO8","AZ"
"West Tennessee Detention Facility","Arizona - La Palma Correctional Center","AZ","ICS","2021-01-07T20:16:29.040Z","West Tennessee Detention Facility","6299 Finde Naifeh Dr, Mason, TN 38049, United States","-89.5483177","35.4064431","Tipton County","ChIJTeudS6caf4gRFv4Dc3L3eH4","AZ"
"Whiteville Correctional Facility","Arizona - La Palma Correctional Center","AZ","ICS","2021-01-07T20:16:33.175Z","Arizona State Prison Complex Tucson","10000 S Wilmot Rd, Tucson, AZ 85734, United States","-110.8588515","32.0667504","Pima County","ChIJUdUEVv5i1oYRH9DmjVwt69Q","AZ"
"Tallahatchie County Correctional Facility","Arizona - La Palma Correctional Center","AZ","ICS","2021-01-07T20:16:38.095Z","Tallahatchie County Correction","415 US 49, Tutwiler, MS 38963, United States","-90.44626319999999","34.0269812","Tallahatchie County","ChIJj0J2RqHvKoYRos8aPbwvSxg","AZ"
"Tallahatchie ICE","Arizona - La Palma Correctional Center","AZ","ICS","2021-01-07T20:16:42.248Z","Ice Now AZ","2440 W Lincoln St #140, Phoenix, AZ 85009, United States","-112.1124819","33.4431774","Maricopa County","ChIJ_V_a5-OnK4cRgGwp2gxDm0U","AZ"
"Nevada Southern Detention Center","Arizona - La Palma Correctional Center","AZ","ICS","2021-01-07T20:16:52.656Z","Nevada Southern Detention Center","2190 E Mesquite Ave, Pahrump, NV 89060, United States","-115.9769898","36.2527907","Nye County","ChIJISE2b-Y2xoARe1__mRxeaEo","AZ"
"Tallahatchie SCDOC","Arizona - La Palma Correctional Center","AZ","ICS","2021-01-07T20:16:56.156Z","Arizona Department of Corrections","1601 W Jefferson St, Phoenix, AZ 85007, United States","-112.0942104","33.4465846","Maricopa County","ChIJVxqYtywSK4cRDAo-AAXRcdM","AZ"
"Saguaro-KSDOC","Arizona - CoreCivic - Saguaro Correctional Center","AZ","ICS","2021-01-07T20:17:07.265Z","Saguaro National Park","Arizona, United States","-111.166615","32.2967359","Pima County","ChIJY3ZWFrpv1oYRKo6u5b-Wx5E","AZ"
"Saguaro-IDDOC","Arizona - CoreCivic Saguaro - IDDOC","AZ","ICS","2021-01-07T20:17:17.362Z","Saguaro Correctional Center","1250 E Arica Rd, Eloy, AZ 85131, United States","-111.5257299","32.8079801","Pinal County","ChIJLaDhVKhtKocR4Ictolqcafo","AZ"
"Graham County Jail","Arizona - Graham County Sheriffs Office","AZ","ICS","2021-01-07T20:17:26.858Z","Graham County Sheriff’s Office","600 W Graham Canal Rd, Safford, AZ 85546, United States","-109.7144505","32.85738570000001","Graham County","ChIJr6Z_X4_814YRlwzDg3Hteio","AZ"
"Eastern Arizona Regional Juvenile Detention Facility","Arizona - Graham County Sheriffs Office","AZ","ICS","2021-01-07T20:17:30.145Z","Eastern Arizona Regional Juvenile Detention Facility","919 W Thatcher Blvd, Safford, AZ 85546, United States","-109.7180687","32.8337296","Graham County","ChIJqT5sWY_814YR_pyZGjwm7Pk","AZ"
"Mohave County Jail","Arizona - Mohave County Sheriffs Office","AZ","ICS","2021-01-07T20:17:40.458Z","Mohave County Jail","501 W Hwy 66, Kingman, AZ 86401, United States","-114.0652236","35.1869697","Mohave County","ChIJr0Ja-X7ezYAR0vlNX3DOhik","AZ"
"Mohave County Juvenile Detention Facility","Arizona - Mohave County Sheriffs Office","AZ","ICS","2021-01-07T20:17:43.255Z","Mohave County Juvenile Detention","300 W Andy Devine Ave, Kingman, AZ 86401, United States","-114.0609474","35.1886888","Mohave County","ChIJFXZeU2PezYARV01XgMebAZ8","AZ"
"Phillips County Detention Center","Arkansas - Phillips County","AR","ICS","2021-01-07T20:17:54.873Z","Phillips County Sheriff's Office","201 Perry St, Helena, AR 72342, United States","-90.585206","34.5290028","Phillips County","ChIJz1PeKr4q1YcRN2yUG2um2Fk","AR"
"Butte County Jail","California - Butte County Sheriffs Office","CA","ICS","2021-01-07T20:18:06.460Z","Butte County Jail","33 County Center Dr, Oroville, CA 95965, United States","-121.5740145","39.5295603","Butte County","ChIJGQ0aD5q1nIARaWjVZm8E26A","CA"
"Butte County Juvenile Hall","California - Butte County Sheriffs Office","CA","ICS","2021-01-07T20:18:09.255Z","Butte County Juvenile Hall","41 County Center Dr, Oroville, CA 95965, United States","-121.5703845","39.5296252","Butte County","ChIJRyVHc5q1nIARzPN4zs7J2Ms","CA"
"Butte County Jail","California - Butte County Juvenile Hall","CA","ICS","2021-01-07T20:18:23.458Z","Butte County Jail","33 County Center Dr, Oroville, CA 95965, United States","-121.5740145","39.5295603","Butte County","ChIJGQ0aD5q1nIARaWjVZm8E26A","CA"
"Butte County Juvenile Hall","California - Butte County Juvenile Hall","CA","ICS","2021-01-07T20:18:26.158Z","Butte County Juvenile Hall","41 County Center Dr, Oroville, CA 95965, United States","-121.5703845","39.5296252","Butte County","ChIJRyVHc5q1nIARzPN4zs7J2Ms","CA"
"Geo El Centro Detention Facility","California - Geo El Centro Detention Facility, CA","CA","ICS","2021-01-07T20:18:41.256Z","US Immigration and Customs Enforcement","1115 N Imperial Ave, El Centro, CA 92243, United States","-115.568941","32.8030763","Imperial County","ChIJQSSavkpn14ARW-y_XOj1BVM","CA"
"GEO WRDF San Diego","California - GEO WRDF San Diego","CA","ICS","2021-01-07T20:18:49.559Z","Western Region Detention Facility","220 W C St, San Diego, CA 92101, United States","-117.165158","32.7168571","San Diego County","ChIJMSOSBKlU2YARHFLocOSn-A8","CA"
"Humboldt County Correctional Facility","California - Humboldt County Correctional Facility","CA","ICS","2021-01-07T20:18:58.165Z","Humboldt County Correctional Facility","826 4th St, Eureka, CA 95501, United States","-124.1621737","40.80282649999999","Humboldt County","ChIJTWmJhXxV0VQR5q3VJ7pbgww","CA"
"Humboldt County Juvenile Hall","California - Humboldt County Correctional Facility","CA","ICS","2021-01-07T20:19:00.956Z","Humboldt County Probation Department","2002 Harrison Ave, Eureka, CA 95501, United States","-124.1413663","40.7894024","Humboldt County","ChIJG0g-mcn_01QReWXan_tZPuI","CA"
"Humboldt County Correctional Facility","California - Humboldt County Juvenile Hall","CA","ICS","2021-01-07T20:19:11.858Z","Humboldt County Correctional Facility","826 4th St, Eureka, CA 95501, United States","-124.1621737","40.80282649999999","Humboldt County","ChIJTWmJhXxV0VQR5q3VJ7pbgww","CA"
"Humboldt County Juvenile Hall","California - Humboldt County Juvenile Hall","CA","ICS","2021-01-07T20:19:15.031Z","Humboldt County Probation Department","2002 Harrison Ave, Eureka, CA 95501, United States","-124.1413663","40.7894024","Humboldt County","ChIJG0g-mcn_01QReWXan_tZPuI","CA"
"Kings County Jail","California - Kings County","CA","ICS","2021-01-07T20:19:24.451Z","Kings County Jail","1570 Kings County Dr, Hanford, CA 93230, United States","-119.6696196","36.3327646","Kings County","ChIJqVsLgpHDlIARzCqcnrxgxTk","CA"
"Kings County Branch Jail","California - Kings County","CA","ICS","2021-01-07T20:19:27.428Z","Kings County Jail","1570 Kings County Dr, Hanford, CA 93230, United States","-119.6696196","36.3327646","Kings County","ChIJqVsLgpHDlIARzCqcnrxgxTk","CA"
"Kings County Juvenile Institution","California - Kings County","CA","ICS","2021-01-07T20:19:31.664Z","Kings County Juvenile Center","1450 Forum Dr, Hanford, CA 93230, United States","-119.6674356","36.33123080000001","Kings County","ChIJg8Cjq5bDlIAR79Z0qaDEHuE","CA"
"Kings County Jail","California - Kings County Juvenile Institution","CA","ICS","2021-01-07T20:19:40.760Z","Kings County Jail","1570 Kings County Dr, Hanford, CA 93230, United States","-119.6696196","36.3327646","Kings County","ChIJqVsLgpHDlIARzCqcnrxgxTk","CA"
"Kings County Branch Jail","California - Kings County Juvenile Institution","CA","ICS","2021-01-07T20:19:43.358Z","Kings County Jail","1570 Kings County Dr, Hanford, CA 93230, United States","-119.6696196","36.3327646","Kings County","ChIJqVsLgpHDlIARzCqcnrxgxTk","CA"
"Kings County Juvenile Institution","California - Kings County Juvenile Institution","CA","ICS","2021-01-07T20:19:46.856Z","Kings County Juvenile Center","1450 Forum Dr, Hanford, CA 93230, United States","-119.6674356","36.33123080000001","Kings County","ChIJg8Cjq5bDlIAR79Z0qaDEHuE","CA"
"Lake County Jail","California - Lake County Sheriffs Office","CA","ICS","2021-01-07T20:19:55.560Z","Lake County Jail","4913 Helbush Dr, Lakeport, CA 95453, United States","-122.9135069","39.103959","Lake County","ChIJ7dohrMPng4ARzlxZXsM3NG4","CA"
"Mendocino County Jail","California - Mendocino County Sheriffs Office","CA","ICS","2021-01-07T20:20:04.084Z","Mendocino County Jail","951 Low Gap Rd, Ukiah, CA 95482, United States","-123.2195773","39.16009409999999","Mendocino County","ChIJm6kv8zplgYAR4Ntsbmr9i5k","CA"
"Mendocino County Juvenile  Hall","California - Mendocino County Sheriffs Office","CA","ICS","2021-01-07T20:20:07.455Z","Mendocino County Juvenile Hall","585 Low Gap Rd, Ukiah, CA 95482, United States","-123.216873","39.15962","Mendocino County","ChIJ-TcxpCFlgYAR_aIJViujd0c","CA"
"Placer County Jail","California - Placer County Sheriffs Office","CA","ICS","2021-01-07T20:20:18.365Z","South Placer County Jail","11801 Go For Broke Rd, Roseville, CA 95678, United States","-121.3014795","38.8078457","Placer County","ChIJZRO3SzEim4ARoXfRxj6TiDY","CA"
"Placer Juvenile Detention Facility","California - Placer County Sheriffs Office","CA","ICS","2021-01-07T20:20:21.423Z","Placer County Probation Juvenile Detention Facility","11260 B Ave, Auburn, CA 95603, United States","-121.1086687","38.9367069","Placer County","ChIJmYotcW4Qm4ARDQICnEiXpm8","CA"
"South Placer Adult Correctional Facility","California - Placer County Sheriffs Office","CA","ICS","2021-01-07T20:20:25.356Z","South Placer County Jail","11801 Go For Broke Rd, Roseville, CA 95678, United States","-121.3014795","38.8078457","Placer County","ChIJZRO3SzEim4ARoXfRxj6TiDY","CA"
"Rio Cosumnes Corr. Center","California - Sacramento County Sheriff","CA","ICS","2021-01-07T20:20:35.060Z","Rio Cosumnes Correctional Center","12500 Bruceville Rd, Elk Grove, CA 95757, United States","-121.4216794","38.3063235","Sacramento County","ChIJBU3IdYu5moARitHS0t45tUg","CA"
"Sacramento Juvenile Detention","California - Sacramento County Sheriff","CA","ICS","2021-01-07T20:20:38.424Z","Sacramento County Juvenile Hall","9601 Kiefer Blvd, Sacramento, CA 95827, United States","-121.3411412","38.5464838","Sacramento County","ChIJEYKdmUXDmoARIXIBib9KhS8","CA"
