FID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,SHAPE_Leng,SHAPE_Length,SHAPE_Area,LONGITUDE,LATITUDE
11,10005850,AUDRAIN COUNTY JAIL,1100 LITTLEBY ROAD,MEXICO,MO,65265,-999,(573) 473-5801,COUNTY,OPEN,-999,AUDRAIN,29007,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.audrainsheriff.com/,2018/03/23 00:00:00,IMAGERY/OTHER,2020/01/31 00:00:00,https://www.audrainsheriff.com/,NOT AVAILABLE,-999,0.00270240062488,338.944782164255,2.69817403095e-07,-91.81858915999996,39.16804421900005
12,10005872,BATES COUNTY JAIL,6 WEST FORT SCOTT STREET,BUTLER,MO,64730,-999,(660) 679-5880,COUNTY,OPEN,26,BATES,29013,USA,922140,CORRECTIONAL INSTITUTIONS,https://batescountysheriff.com/,2018/03/23 00:00:00,IMAGERY/OTHER,2020/01/31 00:00:00,http://www.batescountysheriff.com/index.html,NOT AVAILABLE,100,0.00214663656777,265.669014070509,1.94953658989e-07,-94.3323619025,38.256830317500004
13,10005564,ATTALA COUNTY JAIL,112 WEST ADAMS STREET,KOSCIUSKO,MS,39090,-999,(662) 289-5556,COUNTY,OPEN,-999,ATTALA,28007,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.attalacounty.net/sheriff,2018/03/27 00:00:00,IMAGERY/OTHER,2020/01/07 00:00:00,http://www.attalacounty.net/sheriff,NOT AVAILABLE,-999,0.0017856802627,215.604684721159,1.96110305414e-07,-89.590676755,33.05975820400005
14,10004389,SHACKELFORD COUNTY JAIL,791 US HWY 180 WEST,ALBANY,TX,76430,-999,(325) 762-9500,COUNTY,OPEN,11,SHACKELFORD,48417,USA,922140,CORRECTIONAL INSTITUTIONS,"http://shackelfordcounty.org/sheriffs-department/, https://www.tcjs.state.tx.us/index.php?linkID=325",2018/03/01 00:00:00,IMAGERY/OTHER,2020/03/04 00:00:00,NOT AVAILABLE,NOT AVAILABLE,27,0.00329283414374,389.235832127065,4.80341918134e-07,-99.3027054945,32.7171265005001
15,10001287,BEXAR COUNTY JUVENILE DETENTION CENTER,600 MISSION RD,SAN ANTONIO,TX,78210,-999,NOT AVAILABLE,COUNTY,OPEN,-999,BEXAR,48029,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bexar.org/1390/Facilities,2018/04/25 00:00:00,IMAGERY,2020/02/11 00:00:00,http://www.bexar.org/1390/Facilities,JUVENILE,278,0.00560996122862,675.064448016042,1.33882431307e-06,-98.4907147545,29.39329024850005
16,10005772,PARMENTER COMMUNITY JUSTICE CENTER,706 5TH STREET,BAY CITY,MI,48708,-999,NOT AVAILABLE,LOCAL,NOT AVAILABLE,12,BAY,26017,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.theoaklandpress.com/news/judge-oks-abraham-s-move-to-halfway-house/article_b67a4657-ddd6-5ca7-bfad-c5d3db76bd40.html,2020/05/28 00:00:00,IMAGERY/OTHER,2019/12/20 00:00:00,NOT AVAILABLE,JUVENILE,13,0.000599796683383,81.5229326305894,2.1842417716e-08,-83.88276680499995,43.59850964400005
17,10006287,WOODLAND HILLS TREATMENT CENTER,4321 ALLANDALE AVE,DULUTH,MN,55803,-999,(218) 728-7500,LOCAL,OPEN,-999,ST. LOUIS,27137,USA,922140,CORRECTIONAL INSTITUTIONS,https://thehillsyfs.org/,2018/05/18 00:00:00,IMAGERY/OTHER,2020/01/02 00:00:00,https://thehillsyfs.org/services/,JUVENILE,-999,0.00274723745986,374.115512593552,4.27504962904e-07,-92.0803654235,46.854526396
18,10001675,SCIOTO COUNTY JAIL,1025 16TH ST,PORTSMOUTH,OH,45662,-999,(740) 355-8277,COUNTY,OPEN,-999,SCIOTO,39145,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.sciotocountysheriff.com/2017-FILES/2018SHERIFF.html,2018/04/12 00:00:00,IMAGERY/OTHER,2020/02/20 00:00:00,http://www.sciotocountysheriff.com/2017-FILES/2018SHERIFF.html,NOT AVAILABLE,-999,0.00442861089682,549.178985633778,7.64688448379e-07,-82.99161390249995,38.7444344915
19,10006914,VOLUNTEERS OF AMERICA - MINNEAPOLIS RESIDENTIAL RE-ENTRY CENTER,2825 EAST LAKE STREET,MINNEAPOLIS,MN,55406,-999,(612) 721-6327,LOCAL,OPEN,-999,HENNEPIN,27053,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.voa.org/,2018/05/18 00:00:00,IMAGERY/OTHER,2020/01/02 00:00:00,https://www.voamnwi.org/residential-reentry,NOT AVAILABLE,-999,0.00113309771896,159.841384647093,7.32868915391e-08,-93.2303195895,44.9480843120001
20,10005396,BENTON COUNTY JAIL / SHERIFF,174 W. WASHINGTON STREET,WARSAW,MO,65355,-999,(660) 438-6135,COUNTY,OPEN,-999,BENTON,29015,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.mosheriffs.com/view_county.php?name=Benton,2018/03/23 00:00:00,IMAGERY/OTHER,2020/01/31 00:00:00,http://www.bentoncomo.com/jail.html,NOT AVAILABLE,24,0.00131874736927,164.685396773114,1.00086425957e-07,-93.38043212799994,38.242240258000095
21,10005885,BOLLINGER COUNTY JAIL,202 HIGH STREET,MARBLE HILL,MO,63764,-999,(573) 238-2633,COUNTY,OPEN,18,BOLLINGER,29017,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.bollingercountysheriffsoffice.com/jail-division.html,2018/03/23 00:00:00,IMAGERY/OTHER,2020/01/31 00:00:00,http://bollingercountysheriffsoffice.com/index.html,NOT AVAILABLE,-999,0.00164611679859,202.826313389671,1.23681966314e-07,-89.969933674,37.30559366050005
22,10002698,SHERIFF AL CANNON DETENTION CENTER,3841 LEEDS AVE,NORTH CHARLESTON,SC,29405,-999,(843) 529-7300,COUNTY,OPEN,1113,CHARLESTON,45019,USA,922140,CORRECTIONAL INSTITUTIONS,https://sheriff.charlestoncounty.org/index.php,2018/04/19 00:00:00,IMAGERY/OTHER,2020/02/07 00:00:00,https://sheriff.charlestoncounty.org/index.php,MAXIMUM,1917,0.0118527387088,1442.58035411344,3.22816788751e-06,-80.01379891449994,32.845637237000105
23,10002832,MILAM COUNTY JAIL,512 N JEFFERSON,CAMERON,TX,76520,-999,(254) 697-7063,COUNTY,OPEN,137,MILAM,48331,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, https://www.milamcountysherifftx.org/jail",2018/03/01 00:00:00,IMAGERY/OTHER,2020/02/27 00:00:00,NOT AVAILABLE,NOT AVAILABLE,160,0.00397567549565,471.943032378139,6.19810641708e-07,-96.9812489395,30.8553384060001
24,10002833,ROCKDALE REGIONAL JUVENILE JUSTICE CENTER,696 N FM 487,ROCKDALE,TX,76567,-999,(512) 446-3930,COUNTY,OPEN,-999,MILAM,48331,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.rrjjc.com/about-us.html, https://www.facebook.com/pages/Rockdale-Regional-Juvenile-Justice-Center/423496447705663",2018/04/30 00:00:00,IMAGERY/OTHER,2020/02/27 00:00:00,http://www.rrjjc.com/about-us.html,JUVENILE,67,0.00300013092201,364.419414520802,3.730312307e-07,-97.00484118599995,30.67353571750005
25,10004420,SUTTON COUNTY JAIL,401 EAST OAK STREET,SONORA,TX,76950,-999,(325) 387-2288,COUNTY,OPEN,14,SUTTON,48435,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, https://texasjailproject.org/list_of_county_jails/",2018/03/01 00:00:00,IMAGERY/OTHER,2020/03/04 00:00:00,NOT AVAILABLE,NOT AVAILABLE,28,0.00216731137931,261.984697548083,2.74908907046e-07,-100.644045216,30.573408103000048
26,10006014,NOBLE COUNTY JAIL / COURTHOUSE,"300 COURTHOUSE DR, STE 5",PERRY,OK,73077,-999,(580) 336-1001,MULTI,OPEN,-999,NOBLE,40103,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.noblecoso.com/index_003.htm,2020/05/28 00:00:00,IMAGERY,2020/01/21 00:00:00,https://www.noblecoso.com/index_003.htm,NOT AVAILABLE,48,0.00105401184554,131.246456244943,6.94195098627e-08,-97.2865558365,36.286679517500104
27,10001789,CARTERET COUNTY DETENTION FACILITY,306 CRAVEN ST,BEAUFORT,NC,28516,-999,(252) 728-8400,COUNTY,OPEN,128,CARTERET,37031,USA,922140,CORRECTIONAL INSTITUTIONS,http://carteretsheriff.com/services/detention-center/,2018/04/02 00:00:00,IMAGERY/OTHER,2020/02/13 00:00:00,http://carteretsheriff.com/services/detention-center/,NOT AVAILABLE,117,0.00196667065495,239.850622066102,1.77016979569e-07,-76.6619860389999,34.7194371330001
28,10004391,NOLAN COUNTY JAIL,211 AVENGER FIELD RD,SWEETWATER,TX,79556,-999,(325) 235-5487,COUNTY,OPEN,66,NOLAN,48353,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, http://www.co.nolan.tx.us/page/nolan.Sheriff",2018/03/01 00:00:00,IMAGERY/OTHER,2020/02/27 00:00:00,http://nolanso.com/,NOT AVAILABLE,96,0.00317749415714,378.57747666347,3.27571164478e-07,-100.46402138549999,32.45716210250011
29,10002932,NUECES COUNTY MCKINZIE JAIL ANNEX,745 N PADRE ISLAND DR,CORPUS CHRISTI,TX,78406,-999,(361) 241-5234,COUNTY,OPEN,400,NUECES,48355,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.nuecesco.com/law-enforcement/sheriff/jail-commissary,2018/05/01 00:00:00,IMAGERY/OTHER,2020/02/27 00:00:00,http://www.nuecesco.com/law-enforcement/sheriff,NOT AVAILABLE,450,0.00562586229753,658.695061241327,1.52714626822e-06,-97.4709699205,27.7772527385
30,10005223,MINSEC OF SCRANTON,539 LINDEN ST,SCRANTON,PA,18503,-999,(570) 341-8281,LOCAL,OPEN,-999,LACKAWANNA,42069,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.facebook.com/pages/Minsec-Scranton/162081287143773,2020/05/28 00:00:00,IMAGERY,2020/01/29 00:00:00,NOT AVAILABLE,NOT AVAILABLE,30,0.00117153658262,150.522979282842,7.38485445035e-08,-75.66108279649995,41.4085505460001
31,10005500,CASWELL COUNTY DETENTION CENTER,231 COUNTY PARK RD,YANCEYVILLE,NC,27379,-999,(336) 694-2590,COUNTY,OPEN,-999,CASWELL,37033,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.caswellcountysheriffsoffice.com/detention.htm,2018/04/02 00:00:00,IMAGERY/OTHER,2020/02/13 00:00:00,http://www.caswellcountysheriffsoffice.com/detention.htm,NOT AVAILABLE,108,0.00324679038577,405.36815995275,5.26305038951e-07,-79.33584089049995,36.40660395400005
32,10004187,CATAWBA COUNTY DETENTION FACILITY / JUSTICE CENTER,100 B SOUTHWEST BLVD,NEWTON,NC,28658,-999,(828) 465-8999,COUNTY,OPEN,317,CATAWBA,37035,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.catawbacountync.gov/county-services/sheriffs-office/detention-facilities/general-information/,2018/04/02 00:00:00,IMAGERY/OTHER,2020/02/13 00:00:00,https://www.catawbacountync.gov/county-services/sheriffs-office/detention-facilities/general-information/,MAXIMUM,268,0.00466189087587,578.708395077327,9.94177546993e-07,-81.2328909595,35.6627171195
33,10006915,JOPLIN CITY JAIL,303 E 3RD STREET,JOPLIN,MO,64801,-999,(417) 623-3131,LOCAL,OPEN,62,JASPER,29097,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.joplinmo.org/382/Operations-Division,2018/05/18 00:00:00,IMAGERY/OTHER,2020/01/31 00:00:00,http://www.joplinmo.org/311/Jail,NOT AVAILABLE,60,0.00292783415427,361.7515658712,3.69196852558e-07,-94.51103623199995,37.08915910750005
34,10001613,BUCHANAN COUNTY JAIL,501 FARAON ST,ST. JOSEPH,MO,64501,-999,(816) 236-8800,COUNTY,OPEN,-999,BUCHANAN,29021,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.co.buchanan.mo.us/201/Corrections,2018/03/26 00:00:00,IMAGERY/OTHER,2020/01/31 00:00:00,http://www.co.buchanan.mo.us/196/Sheriffs-Office,MAXIMUM,224,0.00501505134126,597.489339513268,5.73179237122e-07,-94.853933095,39.7694024165
35,10005388,CALDWELL COUNTY DETENTION CENTER,280 WEST MAIN STREET,KINGSTON,MO,64650,-999,(816) 585-5245,COUNTY,OPEN,-999,CALDWELL,29025,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.caldwellco.missouri.org/detention-center/,2018/03/26 00:00:00,IMAGERY/OTHER,2020/01/31 00:00:00,http://caldwellco.missouri.org/detention-center/,NOT AVAILABLE,-999,0.00207324590086,259.645069002291,2.24232074219e-07,-94.04674021299995,39.6422022935001
36,10004362,OLDHAM COUNTY JAIL,105 SOUTH MAIN STREET,VEGA,TX,79092,-999,(806) 267-2162,COUNTY,OPEN,3,OLDHAM,48359,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, https://texasjailproject.org/list_of_county_jails/",2018/03/01 00:00:00,IMAGERY/OTHER,2020/02/27 00:00:00,NOT AVAILABLE,NOT AVAILABLE,10,0.00155262374731,197.473919740161,1.39517097883e-07,-102.42774978150001,35.2466012295001
37,10002745,PALO PINTO COUNTY JAIL,420 CEDAR ST,PALO PINTO,TX,76484,-999,(940) 659-1293,COUNTY,OPEN,119,PALO PINTO,48363,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.palopintocountysheriff.com/, https://www.tcjs.state.tx.us/index.php?linkID=325",2018/03/01 00:00:00,IMAGERY/OTHER,2020/02/27 00:00:00,http://www.palopintocountysheriff.com/,NOT AVAILABLE,142,0.00473935612363,583.501011579058,8.89724962209e-07,-98.298124524,32.7687078010001
38,10002907,VICTORIA COUNTY JAIL,101 N GLASS ST,VICTORIA,TX,77901,-999,(361) 575-0651,COUNTY,OPEN,375,VICTORIA,48469,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, http://www.victoriasheriff.org/",2018/03/01 00:00:00,IMAGERY/OTHER,2020/03/04 00:00:00,http://www.victoriasheriff.org/,NOT AVAILABLE,524,0.00310972106719,371.110877984783,4.5146986274e-07,-97.008406032,28.80036799150005
39,10000727,WOMEN'S COMMUNITY CORRECTION CENTER,324 NORTH 6TH STREET,ALLENTOWN,PA,18102,-999,(610) 820-3310,COUNTY,NOT AVAILABLE,49,LEHIGH,42077,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.countyoffice.org/womens-community-correction-center-allentown-pa-420/,2020/05/28 00:00:00,IMAGERY,2020/01/31 00:00:00,NOT AVAILABLE,MINIMUM,-999,0.00109813307057,137.232869855821,6.28306615843e-08,-75.47257393749996,40.607654394
40,10005513,CHATHAM COUNTY DETENTION CENTER,627 RENAISSANCE DRIVE,PITTSBORO,NC,27312,-999,(919) 545-7802,COUNTY,OPEN,-999,CHATHAM,37037,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.chathamnc.org/government/departments-programs/sheriff-s-office,2018/04/02 00:00:00,IMAGERY/OTHER,2020/02/13 00:00:00,https://www.chathamnc.org/government/departments-programs/sheriff-s-office,NOT AVAILABLE,-999,0.005255150383,644.183143946897,1.40469793185e-06,-79.26580579999995,35.7410844020001
41,10005502,CHOWAN LAW ENFORCEMENT CENTER,305 WEST FREEMASON STREET,EDENTON,NC,27932,-999,(252) 482-3822,COUNTY,OPEN,-999,CHOWAN,37041,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.chowancounty-nc.gov/index.asp?Type=B_BASIC&SEC=%7BB6F299B1-BAEE-4E90-AFE5-E250FE7B256E%7D,2020/02/13 00:00:00,IMAGERY/OTHER,2020/02/13 00:00:00,https://www.chowancounty-nc.gov/index.asp?Type=B_BASIC&SEC=%7BB6F299B1-BAEE-4E90-AFE5-E250FE7B256E%7D,NOT AVAILABLE,-999,0.00320138410325,392.633307304225,3.2886629932e-07,-76.61151852449996,36.065471999500105
42,10002834,WALKER COUNTY JAIL,751 FM 2821 W,HUNTSVILLE,TX,77320,-999,(936) 435-2412,COUNTY,OPEN,186,WALKER,48471,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, https://www.co.walker.tx.us/department/index.php?structureid=21",2018/03/01 00:00:00,IMAGERY/OTHER,2020/03/04 00:00:00,NOT AVAILABLE,NOT AVAILABLE,268,0.00479902473128,567.56600749647,7.55238159161e-07,-95.56812025099995,30.73905542250005
43,10002852,WALLER COUNTY JAIL,701 CALVIT ST,HEMPSTEAD,TX,77445,-999,(979) 826-8282,COUNTY,OPEN,75,WALLER,48473,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.tcjs.state.tx.us/index.php?linkID=325,2018/03/01 00:00:00,IMAGERY/OTHER,2020/03/04 00:00:00,http://www.wallercountytexassheriff.org/home,NOT AVAILABLE,110,0.00259730217335,309.841358591392,3.29369961356e-07,-96.07536368949995,30.1024234265001
44,10006643,ABRAXAS I,165 ABRAXAS ROAD,MARIENVILLE,PA,16239,-999,(800) 352-3402,STATE,OPEN,-999,FOREST,42053,USA,922140,CORRECTIONAL INSTITUTIONS,https://abraxasyfs.com/abraxas-academy.html,2018/01/05 00:00:00,IMAGERY/OTHER,2020/01/28 00:00:00,https://abraxasyfs.com/abraxas-1.html,JUVENILE,204,0.0129010432566,1733.19147162328,1.05573741406e-05,-79.12870999949999,41.551098545
45,10006642,ABRAXAS ACADEMY,1000 ACADEMY DRIVE,MORGANTOWN,PA,19543,-999,(610) 913-8000,STATE,OPEN,81,BERKS,42011,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.geogroup.com/Portals/0/PREA_Certifications/Abraxas%20Academy%20Morgantown%20-%20PREA%20Auditor's%20Final%20Report%20_%203-23-17.pdf,2016/08/17 00:00:00,IMAGERY/OTHER,2020/01/28 00:00:00,https://abraxasyfs.com/abraxas-academy.html,JUVENILE,156,0.00935974199562,1156.27906407852,4.14387468512e-06,-75.91680170449996,40.191810526500106
46,10004046,CLAY COUNTY DETENTION CENTER,14 S WATER ST,LIBERTY,MO,64068,-999,(816) 407-3800,COUNTY,OPEN,382,CLAY,29047,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.claymosheriff.org/index.html,2018/03/26 00:00:00,IMAGERY/OTHER,2020/01/31 00:00:00,http://www.claymosheriff.org/index.html,NOT AVAILABLE,-999,0.00590538050354,748.504453703098,7.83166804308e-07,-94.4194356535,39.24527871200005
47,10005390,CHARITON COUNTY JAIL / SHERIFF,307 SOUTH CHERRY STREET,KEYTESVILLE,MO,65261,-999,(660) 288-3277,COUNTY,OPEN,-999,CHARITON,29041,USA,922140,CORRECTIONAL INSTITUTIONS,https://dps.mo.gov/dir/programs/cvsu/counties/chariton.php,2018/03/26 00:00:00,IMAGERY/OTHER,2020/01/31 00:00:00,https://dps.mo.gov/dir/programs/cvsu/counties/chariton.php,NOT AVAILABLE,32,0.00162007245871,200.54295481171,1.39933768366e-07,-92.9420096815,39.432425222
48,10005389,CLINTON COUNTY JAIL / SHERIFF,207 NORTH MAIN STREET,PLATTSBURG,MO,64477,-999,(816) 539-2156,COUNTY,OPEN,-999,CLINTON,29049,USA,922140,CORRECTIONAL INSTITUTIONS,http://sheriff.clintoncomo.org/jail/mail/,2018/03/26 00:00:00,IMAGERY/OTHER,2020/01/31 00:00:00,http://sheriff.clintoncomo.org/,NOT AVAILABLE,31,0.001718562151,217.570812981232,1.78610315582e-07,-94.4468298895,39.566053354000104
49,10006476,LAFAYETTE COUNTY JAIL,5 COURTHOUSE SQUARE,LEWISVILLE,AR,71845,-999,(870) 921-4252,COUNTY,OPEN,-999,LAFAYETTE,05073,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.arsheriffs.org/county_map/,2018/01/29 00:00:00,IMAGERY/OTHER,2019/11/11 00:00:00,NOT AVAILABLE,NOT AVAILABLE,-999,0.00161477942692,196.591244922959,1.6246058025e-07,-93.57712984599996,33.35798646200005
50,10003448,CACHE COUNTY JAIL / SHERIFF,1225 W 200 N,LOGAN,UT,84321,-999,(435) 755-1000,COUNTY,OPEN,220,CACHE,49005,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.cachesheriff.org/jail/,2018/05/02 00:00:00,IMAGERY/OTHER,2020/02/20 00:00:00,https://www.cachesheriff.org/jail/,NOT AVAILABLE,-999,0.00431427725148,547.121749409047,5.70740765156e-07,-111.865893295,41.73701279250005
51,10005407,DENT COUNTY SHERIFF'S DEPARTMENT,112 EAST 5TH STREET,SALEM,MO,65560,-999,(573) 729-3241,COUNTY,OPEN,46,DENT,29065,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.salemmo.com/county/Sheriff.asp,2018/03/26 00:00:00,IMAGERY/OTHER,2020/01/31 00:00:00,http://www.salemmo.com/county/JailProposal.asp,NOT AVAILABLE,21,0.000989248676859,125.931839046502,6.06347390667e-08,-91.53543479599995,37.646244299
