uid,facilityInternal,agencyInternal,agencyFullNameInternal,stateInternal,company,canonicalFacilityId,created,hidden_override,notes,googlePlaceName,address,longitude,latitude,county,googlePlaceId,state,g_name_sim,internal_name_sim,max_name_similarity,hidden,HIFLDID,name_override,jurisdiction_override,address_override,longitude_override,latitude_overrride,state_override,county_override,countyFIPS_override,HIFLDID_override,UCLACovid19ID_override,facilityInternal_x,SHAPE_Length,facilityInternal_y,googlePlaceName_x,googlePlaceName_y
8ad6242022a47b,USN PEARL HARBOR BRIG,Federal Bureau of Prisons MN-Waseca FCI,,MN,GTL,,2021-04-04T13:52:07.105Z,,,GUN FROM USS WARD,"101 W 12th St, St Paul, MN 55155, United States",-93.1038571,44.95179359999999,Ramsey County,ChIJcyjjja4q9ocRnvwXx8NqA8I,MN,39.0,23.0,39.0,True,10001330,,,,,,,,,,,,,,,
e22eb797f709b0,USN PEARL HARBOR BRIG,Federal Bureau of Prisons MN-Sandstone FCI,,MN,GTL,,2021-04-04T13:52:01.312Z,,,GUN FROM USS WARD,"101 W 12th St, St Paul, MN 55155, United States",-93.1038571,44.95179359999999,Ramsey County,ChIJcyjjja4q9ocRnvwXx8NqA8I,MN,39.0,23.0,39.0,True,10001330,,,,,,,,,,,,,,,
b99b6aa8c97061,USN PEARL HARBOR BRIG,Federal Bureau of Prisons MO-Springfield MCFP,,MO,GTL,,2021-04-04T13:51:55.264Z,,,NAVAL BRIG PEARL HARBOR,"2056 Wasp Blvd bldg 462, Honolulu, HI 96818, United States",-157.9669324,21.3632388,Honolulu County,ChIJCxIlUpJlAHwR47XT6k4amdo,MO,39.0,29.0,39.0,True,10000124,,,,,,,,,,,,,,,
2a65468ffe117d,QUINAULT NATION POLICE DEPARTMENT & HOLDING FACILITY,QINWA,Quinault Nation Police Department & Holding Facility,WA,ICS,8811.0,2021-03-06T02:49:19.647Z,,,QIN POLICE DEPARTMENT,"205 Cuitan St, Taholah, WA 98587, United States",-124.2943273,47.3468741,Grays Harbor County,ChIJQR3uu2r2jVQRTenc8CZ0uno,WA,38.0,39.0,39.0,True,10002455,,,,,,,,,,,,,,,
210c36b8dbe332,PRECINCT 12 DUNDALK,BTMMD,Baltimore County Corrections,MD,ICS,8812.0,2021-03-06T02:49:31.412Z,,,DUNDALK PRECINCT 12,"428 Westham Way, Baltimore, MD 21224, United States",-76.5244562,39.2907906,Baltimore County,ChIJ8UoJP9YAyIkRy0fvNQoZUv4,MD,40.0,40.0,40.0,True,10002395,,,,,,,,,,,,,,,
9c881552a9e9e9,DART,North Carolina Department of Corrections,,NC,GTL,,2021-04-04T14:06:48.937Z,,,DART CHERRY PROGRAM,"1302 West Ash Street, Goldsboro, NC 27530, United States",-78.0210197,35.3920841,Wayne County,ChIJuciZs2wBrIkR7nBKShJHOVE,NC,40.0,11.0,40.0,True,10004212,,,,,,,,,,,,,,,
866ca75cb171d4,DART,NC_CRV-North Piedmont Center for Women,,NC,GTL,,2021-04-04T14:00:47.807Z,,,DART CHERRY PROGRAM,"1302 West Ash Street, Goldsboro, NC 27530, United States",-78.0210197,35.3920841,Wayne County,ChIJuciZs2wBrIkR7nBKShJHOVE,NC,40.0,11.0,40.0,True,10004212,,,,,,,,,,,,,,,
949e3f913d1b9a, JOHN J BENOIT DETENTION CENTER,,,CA,SECURUS,8813.0,2021-03-01T17:15:46.732Z,,,JOHN J. BENOIT DETENTION CENTER,"82675 CA-111, Indio, CA 92201, United States",-116.2209933,33.7141942,Riverside County,ChIJUV69cYX32oARnIdezYByXSc,CA,41.0,41.0,41.0,True,10000858,,,,,,,,,,,,,,,
278e88606585d7,TORRINGTON (WTOR),WYDOC,Wyoming Department Of Corrections,WY,ICS,8815.0,2021-03-06T02:50:51.589Z,,,TORRINGTON TELEGRAM,"2025 Main St, Torrington, WY 82240, United States",-104.1839637,42.064589,Goshen County,ChIJw9ntHa8OZYcRec7gn-w9nss,WY,31.0,41.0,41.0,True,10006189,,,,,,,,,,,,,,,
b6880c9d2050ac,GLEN BURNIE,AARUNDELCOMD,Anne Arundel Detention Facilities,MD,ICS,8814.0,2021-03-06T02:49:21.516Z,,,GLEN BURNIE,"Glen Burnie, MD, USA",-76.6246886,39.1626084,Anne Arundel County,ChIJI9xddWD7t4kRXZbDRgMkxps,MD,41.0,41.0,41.0,True,10001557,,,,,,,,,,,,,,,
44a9dde6aa049c,ALL,HI_DPS-All Dept. of Public Safety,,HI,GTL,,2021-04-04T13:49:52.183Z,,,ALOHA HAWAIIAN VACATIONS,"2410 Cleghorn St, Honolulu, HI 96815, United States",-157.8229336,21.2777759,Honolulu County,ChIJaco4tndyAHwRjuGo71Ka-kw,HI,41.0,16.0,41.0,True,10003690,,,,,,,,,,,,,,,
b6b8149c03febc,BROOKLYN PARK POLICE DEPT,,,MN,SECURUS,8816.0,2021-01-08T22:27:54.239Z,,,BROOKLYN PARK POLICE DEPARTMENT,"5400 85th Ave N, Brooklyn Park, MN 55443, United States",-93.34982,45.11001,Hennepin County,ChIJbycnIQU6s1IRnedjoBpw3fo,MN,42.0,36.0,42.0,True,10002052,,,,,,,,,,,,,,,
24851afeb1773c,USMC MIRAMAR NAVCONBRIG,Federal Bureau of Prisons TX-Three Rivers FCI,,TX,GTL,,2021-04-04T14:07:21.670Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,TX,41.0,43.0,43.0,True,10006347,,,,,,,,,,,,,,,
f92a5b35df75b8,USMC MIRAMAR NAVCONBRIG,Federal Bureau of Prisons TX-Texarkana FCI,,TX,GTL,,2021-04-04T14:07:15.682Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,TX,41.0,43.0,43.0,True,10006347,,,,,,,,,,,,,,,
d7d3d2bc3c746f,USN PEARL HARBOR BRIG,Federal Bureau of Prisons AZ-Phoenix FCI,,AZ,GTL,,2021-04-04T12:40:31.118Z,,,ARIZONA CAPITOL MUSEUM,"1700 W Washington St, Phoenix, AZ 85007, United States",-112.0970666,33.4481153,Maricopa County,ChIJZaHOni0SK4cRroxWdOv1J3Q,AZ,43.0,33.0,43.0,True,10003967,,,,,,,,,,,,,,,
5093d08f2d3d25,USN PEARL HARBOR BRIG,Federal Bureau of Prisons AZ-Safford FCI,,AZ,GTL,,2021-04-04T12:40:37.703Z,,,ARIZONA CAPITOL MUSEUM,"1700 W Washington St, Phoenix, AZ 85007, United States",-112.0970666,33.4481153,Maricopa County,ChIJZaHOni0SK4cRroxWdOv1J3Q,AZ,43.0,33.0,43.0,True,10003967,,,,,,,,,,,,,,,
b67ca5db185735,USN PEARL HARBOR BRIG,Federal Bureau of Prisons AZ-Tucson FCC,,AZ,GTL,,2021-04-04T12:40:44.225Z,,,ARIZONA CAPITOL MUSEUM,"1700 W Washington St, Phoenix, AZ 85007, United States",-112.0970666,33.4481153,Maricopa County,ChIJZaHOni0SK4cRroxWdOv1J3Q,AZ,43.0,33.0,43.0,True,10003967,,,,,,,,,,,,,,,
23ede73b06e932,GROSSE POINTE PARK CITY,,,MI,SECURUS,8817.0,2021-01-08T22:06:36.333Z,,,GROSSE POINTE PARK,"Grosse Pointe Park, MI, USA",-82.93741589999999,42.3758708,Wayne County,ChIJTRjj7znUJIgRezS2f6kR4X4,MI,39.0,43.0,43.0,True,10001376,,,,,,,,,,,,,,,
f99384f416a884,USMC MIRAMAR NAVCONBRIG,,,CA,GTL,,2021-04-04T13:59:53.270Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,CA,41.0,43.0,43.0,True,10006347,,,,,,,,,,,,,,,
0335535a28ddd5,USMC MIRAMAR NAVCONBRIG,Federal Bureau of Prisons SD-Yankton FPC,,SD,GTL,,2021-04-04T14:06:33.101Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,SD,41.0,43.0,43.0,True,10006347,,,,,,,,,,,,,,,
3cbcc36c3560a5,USMC MIRAMAR NAVCONBRIG,Federal Bureau of Prisons VA-Petersburg FCC,,VA,GTL,,2021-04-04T14:06:38.595Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,VA,41.0,43.0,43.0,True,10006347,,,,,,,,,,,,,,,
b379a669001fbc,ABERDEEN POLICE DEPT,,,WA,SECURUS,8818.0,2021-01-09T16:59:45.517Z,,,ABERDEEN POLICE DEPARTMENT,"210 E Market St, Aberdeen, WA 98520, United States",-123.8170958,46.9761764,Grays Harbor County,ChIJWROe2Bg6klQR3x2a5BicHc0,WA,43.0,40.0,43.0,True,10002491,,,,,,,,,,,,,,,
a55c3108db490c,USMC MIRAMAR NAVCONBRIG,Federal Bureau of Prisons CA-Terminal Island FCI,,CA,GTL,,2021-04-04T13:53:14.352Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,CA,41.0,43.0,43.0,True,10006347,,,,,,,,,,,,,,,
5599e76be28fc0,USMC MIRAMAR NAVCONBRIG,Federal Bureau of Prisons CA-Victorville FCC,,CA,GTL,,2021-04-04T13:53:21.210Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,CA,41.0,43.0,43.0,True,10006347,,,,,,,,,,,,,,,
110f8a4fee4fd2,USMC MIRAMAR NAVCONBRIG,Federal Bureau of Prisons TX-Seagoville FCI,,TX,GTL,,2021-04-04T14:07:10.111Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,TX,41.0,43.0,43.0,True,10006347,,,,,,,,,,,,,,,
b207f1a4ccb792,USMC MIRAMAR NAVCONBRIG,Federal Bureau of Prisons CA-San Diego MCC,,CA,GTL,,2021-04-04T13:53:08.542Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,CA,41.0,43.0,43.0,True,10006347,,,,,,,,,,,,,,,
0040694010ff8f,USMC MIRAMAR NAVCONBRIG,Federal Bureau of Prisons MO-Springfield MCFP,,MO,GTL,,2021-04-04T13:51:53.368Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,MO,41.0,43.0,43.0,True,10006347,,,,,,,,,,,,,,,
e120b354061172,USMC MIRAMAR NAVCONBRIG,Federal Bureau of Prisons IN-Terre Haute FCC,,IN,GTL,,2021-04-04T13:50:14.192Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,IN,41.0,43.0,43.0,True,10006347,,,,,,,,,,,,,,,
eb5de52ea25043,USMC MIRAMAR NAVCONBRIG,Federal Bureau of Prisons MN-Rochester FMC,,MN,GTL,,2021-04-04T13:51:54.027Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,MN,41.0,43.0,43.0,True,10006347,,,,,,,,,,,,,,,
ad317667a760b7,USMC MIRAMAR NAVCONBRIG,Federal Bureau of Prisons IL-Pekin FCI,,IL,GTL,,2021-04-04T13:50:16.405Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,IL,41.0,43.0,43.0,True,10006347,,,,,,,,,,,,,,,
a136b44445a49c,USMC MIRAMAR NAVCONBRIG,Federal Bureau of Prisons AL-Talladega FCI,,AL,GTL,,2021-04-04T12:39:38.560Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,AL,41.0,43.0,43.0,True,10006347,,,,,,,,,,,,,,,
25e6238e2c19b9,USMC MIRAMAR NAVCONBRIG,Federal Bureau of Prisons AZ-Phoenix FCI,,AZ,GTL,,2021-04-04T12:40:29.273Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,AZ,41.0,43.0,43.0,True,10006347,,,,,,,,,,,,,,,
b55f19d27f7feb,USMC MIRAMAR NAVCONBRIG,Federal Bureau of Prisons AZ-Safford FCI,,AZ,GTL,,2021-04-04T12:40:35.718Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,AZ,41.0,43.0,43.0,True,10006347,,,,,,,,,,,,,,,
fa44b2f702730a,USMC MIRAMAR NAVCONBRIG,Federal Bureau of Prisons AZ-Tucson FCC,,AZ,GTL,,2021-04-04T12:40:42.382Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,AZ,41.0,43.0,43.0,True,10006347,,,,,,,,,,,,,,,
bd319d06e9228e,USMC MIRAMAR NAVCONBRIG,Federal Bureau of Prisons MN-Sandstone FCI,,MN,GTL,,2021-04-04T13:51:59.709Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,MN,41.0,43.0,43.0,True,10006347,,,,,,,,,,,,,,,
b3a908f1405c65, JOHN DEMPSEY HOSPITAL (UCONN),,,CT,SECURUS,8819.0,2021-03-01T17:25:02.886Z,,,UCONN JOHN DEMPSEY HOSPITAL,"Hospital Way, Farmington, CT 06032, United States",-72.78993059999999,41.7318134,Hartford County,ChIJz1NwS1ut54kRdBqQlZX7Q1I,CT,43.0,43.0,43.0,True,10005380,,,,,,,,,,,,,,,
92cb77765aafd4,USMC MIRAMAR NAVCONBRIG,Federal Bureau of Prisons NY-Ray Brook FCI,,NY,GTL,,2021-04-04T13:55:17.320Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,NY,41.0,43.0,43.0,True,10006347,,,,,,,,,,,,,,,
5169d649f52d15,USMC MIRAMAR NAVCONBRIG,Federal Bureau of Prisons MS-Yazoo City FCC,,MS,GTL,,2021-04-04T13:52:27.228Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,MS,41.0,43.0,43.0,True,10006347,,,,,,,,,,,,,,,
935e5a677008f4,USMC MIRAMAR NAVCONBRIG,Federal Bureau of Prisons MN-Waseca FCI,,MN,GTL,,2021-04-04T13:52:05.347Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,MN,41.0,43.0,43.0,True,10006347,,,,,,,,,,,,,,,
6238ba5b208047,BELLFLOWER COURTHOUSE,Los Angeles County CA,,CA,GTL,,2021-04-04T13:54:08.893Z,,,BELLFLOWER COURTHOUSE,"10025 Flower St, Bellflower, CA 90706, United States",-118.1203142,33.8827765,Los Angeles County,ChIJx06dgaUy3YARi8zEwcLBeks,CA,43.0,43.0,43.0,True,10005345,,,,,,,,,,,,,,,
560d9351edc0f0,EDELMAN CHILDREN'S COURTHOUSE,Los Angeles County CA,,CA,GTL,,2021-04-04T13:55:06.459Z,,,EDMUND D. EDELMAN CHILDREN'S COURTHOUSE,"201 Centre Plaza Dr, Monterey Park, CA 91754, United States",-118.16677,34.0579695,Los Angeles County,ChIJufPjEZvFwoARt9B-ix2JsEs,CA,43.0,43.0,43.0,True,10006497,,,,,,,,,,,,,,,
72d7addd561df1, STATE POLICE BARRACKS,,,LA,SECURUS,8821.0,2021-01-08T21:05:25.135Z,,,STATE POLICE DEPARTMENT,"1240 LA-594, Monroe, LA 71203, United States",-91.9896065,32.5185968,Ouachita Parish,ChIJo5KPNP5PLoYRalw5Tdpww2I,LA,44.0,31.0,44.0,True,10001641,,,,,,,,,,,,,,,
90d13345bc2e1d,FIRST SITE,COURTDEMO,Courtroom Visitation,TX,ICS,8822.0,2021-03-06T02:48:21.218Z,,,LOVE AT FIRST SIGHT 4D/HD ULTRASOUND,"1642 W Baker Rd Suite # C, Baytown, TX 77521, United States",-94.9820543,29.7714579,Harris County,ChIJJdrkAaReP4YRA7V3Tv0EzRE,TX,30.0,44.0,44.0,True,10002869,,,,,,,,,,,,,,,
e3a523289c4de4, BARSTOW STATION JAIL,,,CA,SECURUS,8820.0,2021-03-01T17:16:22.885Z,,,SAN BERNARDINO COUNTY SHERIFF - BARSTOW STATION,"225 E Mountain View St, Barstow, CA 92311, United States",-117.025523,34.8933952,San Bernardino County,ChIJaSn78YN8xIARb7OWNnCfNJw,CA,23.0,44.0,44.0,True,10005327,,,,,,,,,,,,,,,
df2165dfdf5a68,PALMDALE SHERIFF STATION,Los Angeles County CA,,CA,GTL,,2021-04-04T13:56:24.346Z,,,PALMDALE SHERIFF'S STATION,"750 E Ave Q, Palmdale, CA 93550, United States",-118.1173809,34.5866325,Los Angeles County,ChIJB2XbPSZYwoARxUzjJaLNJLI,CA,42.0,44.0,44.0,True,10002349,,,,,,,,,,,,,,,
300ba01d74c5ee,HEMET CITY POLICE DEPT,,,CA,SECURUS,8825.0,2021-03-01T17:13:42.360Z,,,HEMET POLICE DEPARTMENT,"450 E Latham Ave, Hemet, CA 92543, United States",-116.9682595,33.7495984,Riverside County,ChIJc24STE9v24ARpjTCZduPYjw,CA,44.0,45.0,45.0,True,10001536,,,,,,,,,,,,,,,
25cbfb86d4140b, MORONGO BASIN STATION JAIL,,,CA,SECURUS,8823.0,2021-03-01T17:17:06.179Z,,,SAN BERNARDINO COUNTY SHERIFF'S DEPARTMENT - MORONGO BASIN STATION,"6527 White Feather Rd, Joshua Tree, CA 92252, United States",-116.2754006,34.13434600000001,San Bernardino County,ChIJY83Elvja2oAR6kRb0sayCgs,CA,44.0,45.0,45.0,True,10000862,,,,,,,,,,,,,,,
30989f1b4130e9, WEST TEXAS REGIONAL,,,TX,SECURUS,8826.0,2021-01-09T02:23:26.472Z,,,TDCJ REGION I DIRECTOR'S OFFICE,"1225 Ave G, Huntsville, TX 77340, United States",-95.5442515,30.7224996,Walker County,ChIJi-ust40IR4YRQ7Eb5f9maTo,TX,23.0,45.0,45.0,True,10000211,,,,,,,,,,,,,,,
746109c00284f8,LEE'S SUMMIT CITY POLICE DEPT,,,MO,SECURUS,8824.0,2021-01-09T00:13:21.200Z,,,LEES SUMMIT POLICE DEPARTMENT,"10 NE Tudor Rd, Lee's Summit, MO 64086, United States",-94.3804278,38.9317166,Jackson County,ChIJlWTar8AfwYcRKOSpIPtaNgo,MO,39.0,45.0,45.0,True,10004825,,,,,,,,,,,,,,,
cc604f841a0005,COLLINSVILLE CITY POLICE DEPT,,,IL,SECURUS,8828.0,2021-03-01T18:05:32.558Z,,,COLLINSVILLE POLICE DEPARTMENT,"200 W Clay St, Collinsville, IL 62234, United States",-89.98827610000001,38.6702697,Madison County,ChIJF0BKTuz_dYgRzC4YKiB3qXc,IL,31.0,46.0,46.0,True,10002404,,,,,,,,,,,,,,,
f26d205b5d6a9b,BERKELEY CITY POLICE DEPT (NEW),,,MO,SECURUS,8827.0,2021-01-09T00:11:42.624Z,,,BERKELEY POLICE,"8340 Frost Ave, Berkeley, MO 63134, United States",-90.3289622,38.7614478,St. Louis County,ChIJAQAAAH0234cRnnkBDHJKka0,MO,33.0,46.0,46.0,True,10002404,,,,,,,,,,,,,,,
432572c0249268,BERWICK CITY POLICE DEPT,,,LA,SECURUS,8829.0,2021-01-08T20:51:22.414Z,,,TOWN OF BERWICK POLICE DEPARTMENT,"400 Canton St, Berwick, LA 70342, United States",-91.218807,29.6930419,St. Mary Parish,ChIJOXB7DlPfI4YRK3Ir16tCDMw,LA,47.0,35.0,47.0,True,10005926,,,,,,,,,,,,,,,
ad12e276829df9,FLINT POLICE DEPT,,,MI,SECURUS,8830.0,2021-01-08T22:02:25.158Z,,,FLINT POLICE DEPARTMENT,"210 E 5th St, Flint, MI 48502, United States",-83.6849725,43.01195380000001,Genesee County,ChIJRZXp_BqCI4gRh82AuLugot8,MI,47.0,41.0,47.0,True,10001368,,,,,,,,,,,,,,,
112f13b13dc33c,INGLEWOOD COURTHOUSE,Los Angeles County CA,,CA,GTL,,2021-04-04T13:55:27.807Z,,,INGLEWOOD COURTHOUSE,"1 E Regent St 6th floor, Inglewood, CA 90301, United States",-118.3545735,33.9645748,Los Angeles County,ChIJMTAaiwS3woARPsbNGGqb_BI,CA,47.0,47.0,47.0,True,10005347,,,,,,,,,,,,,,,
d4d497bbefa8ca,FREE PHONES,STLOUISCOMO,St. Louis County,MO,ICS,8831.0,2021-03-06T02:49:04.681Z,,,BOOST MOBILE,"690 Missouri Ave Ste 19, St Robert, MO 65584, United States",-92.1426459,37.8068615,Pulaski County,ChIJ30wapfXn2ocRpC0sP5XpGuk,MO,47.0,21.0,47.0,True,10005873,,,,,,,,,,,,,,,
3d3c8bcda3374a,USN PEARL HARBOR BRIG,Federal Bureau of Prisons CA-San Diego MCC,,CA,GTL,,2021-04-04T13:53:10.208Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,CA,34.0,47.0,47.0,True,10000872,,,,,,,,,,,,,,,
7c3b140a5a9918,USN PEARL HARBOR BRIG,Federal Bureau of Prisons CA-Terminal Island FCI,,CA,GTL,,2021-04-04T13:53:15.952Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,CA,34.0,47.0,47.0,True,10000872,,,,,,,,,,,,,,,
85115e51a6cb47,USN PEARL HARBOR BRIG,Federal Bureau of Prisons CA-Victorville FCC,,CA,GTL,,2021-04-04T13:53:22.917Z,,,NAVAL CONSOLIDATED BRIG MIRAMAR,"San Diego, CA 92145, United States",-117.1519348,32.8799787,San Diego County,ChIJbQmNOEr_24ARJiqTPOCyLLI,CA,34.0,47.0,47.0,True,10000872,,,,,,,,,,,,,,,
