,id,facilityInternal,agencyInternal,agencyFullNameInternal,stateInternal,company,canonicalFacilityId,createdAt,hidden_override,notes,googlePlaceName,address,longitude,latitude,county,googlePlaceId,state,index_right,FID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,SHAPE_Leng,SHAPE_Le_1,SHAPE_Area,g_name_sim,internal_name_sim,name_override,jurisdiction_override,address_override,longitude_override,latitude_overrride,state_override,county_override,countyFIPS_override,HIFLDID_override,UCLACovid19ID_override
1,2,Western Massachusetts Women's Correctional Center Intake,HAMMA,Hampden County Sheriffs Department,MA,ICS,,2021-03-06T02:47:55.636Z,,,WESTERN MASS REGIONAL WOMEN'S CORRECTIONAL CENTER,"701 Center St, Chicopee, MA 01013, United States",-72.6113967,42.1300315,Hampden County,ChIJb-AuQUrn5okRr4ydpqiyr1g,MA,2131,2132,10006783,WESTERN MASSACHUSETTS REGIONAL WOMEN'S CORRECTIONAL CENTER,701 CENTER STREET,CHICOPEE,MA,01013,-999,(413) 730-6800,COUNTY,OPEN,256,HAMPDEN,25013,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.mass.gov/eopss/docs/doc/research-reports/overcrowding/2017-1stqtr-prisoncapacity-report.pdf,2017-03-27,IMAGERY/OTHER,2019-12-18,http://hcsdma.org/wcc/,NOT AVAILABLE,306,0.00514517110402,655.7100771542757,1.368217743e-06,95,93,,,,,,,,,,
2,3,Western Mass Regional Womens Correctional Center Orientation,HAMMA,Hampden County Sheriffs Department,MA,ICS,,2021-03-06T02:47:56.347Z,,,WESTERN MASS REGIONAL WOMEN'S CORRECTIONAL CENTER,"701 Center St, Chicopee, MA 01013, United States",-72.6113967,42.1300315,Hampden County,ChIJb-AuQUrn5okRr4ydpqiyr1g,MA,2131,2132,10006783,WESTERN MASSACHUSETTS REGIONAL WOMEN'S CORRECTIONAL CENTER,701 CENTER STREET,CHICOPEE,MA,01013,-999,(413) 730-6800,COUNTY,OPEN,256,HAMPDEN,25013,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.mass.gov/eopss/docs/doc/research-reports/overcrowding/2017-1stqtr-prisoncapacity-report.pdf,2017-03-27,IMAGERY/OTHER,2019-12-18,http://hcsdma.org/wcc/,NOT AVAILABLE,306,0.00514517110402,655.7100771542757,1.368217743e-06,95,85,,,,,,,,,,
8,9,Western Mass Regional Womens Correctional Center (WCC),HAMMA,Hampden County Sheriffs Department,MA,ICS,,2021-03-06T02:48:01.452Z,,,WESTERN MASS REGIONAL WOMEN'S CORRECTIONAL CENTER,"701 Center St, Chicopee, MA 01013, United States",-72.6113967,42.1300315,Hampden County,ChIJb-AuQUrn5okRr4ydpqiyr1g,MA,2131,2132,10006783,WESTERN MASSACHUSETTS REGIONAL WOMEN'S CORRECTIONAL CENTER,701 CENTER STREET,CHICOPEE,MA,01013,-999,(413) 730-6800,COUNTY,OPEN,256,HAMPDEN,25013,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.mass.gov/eopss/docs/doc/research-reports/overcrowding/2017-1stqtr-prisoncapacity-report.pdf,2017-03-27,IMAGERY/OTHER,2019-12-18,http://hcsdma.org/wcc/,NOT AVAILABLE,306,0.00514517110402,655.7100771542757,1.368217743e-06,95,87,,,,,,,,,,
11,12,Hampshire Sheriffs Department,HAMPSHIRECOMA,Hampshire County,MA,ICS,,2021-03-06T02:48:03.469Z,,,HAMPSHIRE SHERIFF'S OFFICE,"205 Rocky Hill Rd, Northampton, MA 01060, United States",-72.6594303,42.3079917,Hampshire County,ChIJvXsGf9XZ5okR_VqWa_dSNy4,MA,3332,3333,10003860,HAMPSHIRE COUNTY JAIL AND HOUSE OF CORRECTION,205 ROCKY HILL ROAD,NORTHAMPTON,MA,01060,-999,(413) 584-5911,COUNTY,OPEN,255,HAMPSHIRE,25015,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.mass.gov/eopss/docs/doc/research-reports/overcrowding/2017-1stqtr-prisoncapacity-report.pdf,2017-03-27,IMAGERY/OTHER,2019-12-18,https://www.hampshiresheriffs.com/community-corrections,MEDIUM,287,0.0107420562598,1389.3280353628354,4.862657244e-06,51,54,,,,,,,,,,
12,13,Calhoun County Correctional Center,CALMI,Calhoun County Sheriffs Office,MI,ICS,,2021-03-06T02:48:13.623Z,,,CALHOUN COUNTY JAIL,"185 E Michigan Ave, Battle Creek, MI 49014, United States",-85.1757947,42.3166565,Calhoun County,ChIJcWiVTJLxF4gRxHCjzHuqj08,MI,1309,1310,10002091,CALHOUN COUNTY JAIL,161 E MICHIGAN AVE,BATTLE CREEK,MI,49014,-999,(269) 969-6450,COUNTY,OPEN,300,CALHOUN,26025,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.calhouncountymi.gov/government/sheriff/corrections_division/,2018-03-20,IMAGERY/OTHER,2019-12-20,https://www.calhouncountymi.gov/government/sheriff/corrections_division/,MAXIMUM,630,0.00944501371125,1217.970483740848,2.323748778e-06,100,85,,,,,,,,,,
13,14,Cass County Jail,CASMI,Cass County Sheriffs Office,MI,ICS,,2021-03-06T02:48:14.693Z,,,CASS COUNTY JAIL,"321 M-62, Cassopolis, MI 49031, United States",-86.0187741,41.9193868,Cass County,ChIJDXd3PK4mF4gRwLB6csccNpI,MI,3555,3556,10005181,CASS COUNTY JAIL,321 N M62,CASSOPOLIS,MI,49031,-999,(269) 445-2481,COUNTY,OPEN,103,CASS,26027,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.ccso.info/1226/Corrections,2016-02-15,IMAGERY/OTHER,2019-12-20,http://www.ccso.info/Home.aspx,MAXIMUM,103,0.0034775521294,426.99540234752317,4.84776819e-07,100,100,,,,,,,,,,
14,15,Huron County Jail,HURMI,Huron County Sheriffs Office,MI,ICS,,2021-03-06T02:48:15.493Z,,,HURON COUNTY JAIL,"120 S Heisterman St, Bad Axe, MI 48413, United States",-82.9985763,43.8015181,Huron County,ChIJ3e1uXKmOJogRL5WjK5xbHrM,MI,3424,3425,10005168,HURON COUNTY JAIL,120 SOUTH HEISTERMAN STREET,BAD AXE,MI,48413,-999,(989) 269-6424,COUNTY,OPEN,68,HURON,26063,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.michigan.gov/documents/corrections/JPIS_-_CY_2010_344047_7.pdf,2019-12-20,IMAGERY/OTHER,2019-12-20,https://www.co.huron.mi.us/sheriffs-jail-info,NOT AVAILABLE,70,0.00333199954052,427.08112061519745,3.57673017e-07,100,100,,,,,,,,,,
15,16,Ionia County Correctional Center,IONMI,Ionia County,MI,ICS,,2021-03-06T02:48:16.183Z,,,IONIA CORRECTIONAL FACILITY,"1576 Bluewater Hwy, Ionia, MI 48846, United States",-85.10104170000001,42.9837145,Ionia County,ChIJhW8NH1B7GIgRK5S-mKnLyaU,MI,2507,2508,10001364,BELLAMY CREEK CORRECTIONAL FACILITY,1727 W BLUEWATER HWY,IONIA,MI,48846,-999,(616) 527-2510,STATE,OPEN,1753,IONIA,26067,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.michigan.gov/corrections/0,1607,7-119--5481--,00.html",2016-12-31,IMAGERY/OTHER,2019-12-20,"http://www.michigan.gov/corrections/0,4551,7-119-68854_1381_1385---,00.html",CLOSE,1888,0.0267172137391,3392.5713658543586,2.3998822841e-05,88,60,,,,,,,,,,
15,16,Ionia County Correctional Center,IONMI,Ionia County,MI,ICS,,2021-03-06T02:48:16.183Z,,,IONIA CORRECTIONAL FACILITY,"1576 Bluewater Hwy, Ionia, MI 48846, United States",-85.10104170000001,42.9837145,Ionia County,ChIJhW8NH1B7GIgRK5S-mKnLyaU,MI,3594,3595,10000273,RICHARD A HANDLON CORRECTIONAL FACILITY,1728 BLUEWATER HWY,IONIA,MI,48846,-999,(616) 527-3100,STATE,OPEN,1257,IONIA,26067,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.michigan.gov/corrections/0,4551,7-119-68854_1381_1385-5367--,00.html",2016-12-31,IMAGERY/OTHER,2019-12-20,"http://www.michigan.gov/corrections/0,4551,7-119-68854_1381_1385---,00.html",MEDIUM,1297,0.0183392690077,2512.583629268465,1.7449911001e-05,88,62,,,,,,,,,,
15,16,Ionia County Correctional Center,IONMI,Ionia County,MI,ICS,,2021-03-06T02:48:16.183Z,,,IONIA CORRECTIONAL FACILITY,"1576 Bluewater Hwy, Ionia, MI 48846, United States",-85.10104170000001,42.9837145,Ionia County,ChIJhW8NH1B7GIgRK5S-mKnLyaU,MI,3551,3552,10000272,IONIA CORRECTIONAL FACILITY,1576 W BLUEWATER HWY,IONIA,MI,48846,-999,(616) 527-6331,STATE,OPEN,681,IONIA,26067,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.michigan.gov/corrections/0,4551,7-119-68854_1381_1385-5368--,00.html",2016-12-31,IMAGERY/OTHER,2019-12-20,"http://www.michigan.gov/corrections/0,4551,7-119-68854_1381_1385---,00.html",MAXIMUM,706,0.0142356111351,1811.0336048422564,1.2479642783e-05,100,80,,,,,,,,,,
16,17,Kalkaska County Jail,KALMI,Kalkaska County Sheriffs Office,MI,ICS,,2021-03-06T02:48:16.975Z,,,KALKASKA COUNTY SHERIFF,"605 N Birch St, Kalkaska, MI 49646, United States",-85.1849244,44.7406821,Kalkaska County,ChIJbV9x5E3vH4gRvL3Dt7eqQcs,MI,3431,3432,10005159,KALKASKA COUNTY JAIL,605 NORTH BIRCH STREET,KALKASKA,MI,49646,-999,(231) 258-8686 EXT 1405,COUNTY,OPEN,53,KALKASKA,26079,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.michigan.gov/documents/corrections/JPIS_-_CY_2010_344047_7.pdf, http://www.kalkaskasheriff.net/#",2016-02-15,IMAGERY/OTHER,2019-12-20,http://www.kalkaskasheriff.net/#,NOT AVAILABLE,62,0.00481840850532,623.6942045127437,5.25883663e-07,86,100,,,,,,,,,,
17,18,Kent County Correctional Facility,KNTMI,Kent County,MI,ICS,,2021-03-06T02:48:17.998Z,,,KENT COUNTY JAIL,"703 Ball Ave NE, Grand Rapids, MI 49503, United States",-85.6328755,42.9749548,Kent County,ChIJhdDVW-KsGYgRyo47RKLI0SY,MI,2469,2470,10003831,KENT COUNTY CORRECTIONAL FACILITY,703 BALL AVE NE,GRAND RAPIDS,MI,49503,-999,(616) 632-6400,COUNTY,OPEN,1071,KENT,26081,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.accesskent.com/Sheriff/corrections.htm,2018-03-21,IMAGERY/OTHER,2019-12-20,https://www.accesskent.com/Sheriff/,MAXIMUM,1100,0.0101919239887,1316.5113116717187,2.903958436e-06,81,100,,,,,,,,,,
17,18,Kent County Correctional Facility,KNTMI,Kent County,MI,ICS,,2021-03-06T02:48:17.998Z,,,KENT COUNTY JAIL,"703 Ball Ave NE, Grand Rapids, MI 49503, United States",-85.6328755,42.9749548,Kent County,ChIJhdDVW-KsGYgRyo47RKLI0SY,MI,3494,3495,10003830,KENT COUNTY COMMUNITY REENTRY CENTER,1330 BRADFORD ST NE,GRAND RAPIDS,MI,49503,-999,(616) 632-7730,COUNTY,CLOSED,0,KENT,26081,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.mlive.com/news/grand-rapids/2010/09/kent_county_sheriffs_departmen_6.html,2018-03-21,IMAGERY/OTHER,2019-12-20,https://www.accesskent.com/Sheriff/community_reentry.htm,MINIMUM,248,0.00527237687827,674.6321256202446,8.62656294e-07,81,58,,,,,,,,,,
18,19,Lake County Jail,LKEMI,Lake County Sheriffs Department,MI,ICS,,2021-03-06T02:48:19.150Z,,,LAKE COUNTY JAIL,"1153 Michigan Ave, Baldwin, MI 49304, United States",-85.8517258,43.90054809999999,Lake County,ChIJ0WBirK3IHogRCTqoUBWakME,MI,3432,3433,10005170,LAKE COUNTY JAIL,1153 MICHIGAN AVENUE,BALDWIN,MI,49304,-999,(231) 745-2711,COUNTY,OPEN,-999,LAKE,26085,USA,922140,CORRECTIONAL INSTITUTIONS,http://lakecounty-michigan.com/Default.aspx?tabid=5811,2018-03-21,IMAGERY/OTHER,2019-12-20,http://lakecounty-michigan.com/PublicSafety/SheriffsOffice/DetentionCenter.aspx,NOT AVAILABLE,48,0.00325891,429.8421999961138,4.02636993e-07,100,100,,,,,,,,,,
19,20,Livingston County Jail,LIVINGSTONCOMI,Livingston County,MI,ICS,,2021-03-06T02:48:19.782Z,,,LIVINGSTON COUNTY JAIL,"150 S Highlander Way, Howell, MI 48843, United States",-83.9555367,42.612903,Livingston County,ChIJ3x0qQ8c4I4gRNSrSYKH93dQ,MI,3453,3454,10001373,LIVINGSTON COUNTY JAIL,150 S HIGHLANDER WAY,HOWELL,MI,48843,-999,(517) 546-2445,COUNTY,OPEN,220,LIVINGSTON,26093,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.livgov.com/sheriff/jail/,2016-02-15,IMAGERY/OTHER,2019-12-20,https://www.livgov.com/sheriff/jail/,NOT AVAILABLE,411,0.00486599504878,629.2481144467619,8.62913751e-07,100,100,,,,,,,,,,
20,21,Macomb County Jail,MCMMI,Macomb County,MI,ICS,,2021-03-06T02:48:20.511Z,,,MACOMB COUNTY JAIL,"43565 Elizabeth Rd, Mt Clemens, MI 48043, United States",-82.8887919,42.6169129,Macomb County,ChIJs-DID2kgJYgRa3uAE5VQTAc,MI,2472,2473,10003836,MACOMB COUNTY JUVENILE JUSTICE CENTER,400 NORTH ROSE,MOUNT CLEMENS,MI,48043,-999,(586) 469-5375,COUNTY,OPEN,87,MACOMB,26099,USA,922140,CORRECTIONAL INSTITUTIONS,https://jjc.macombgov.org/JJC-Home,2018-03-21,IMAGERY/OTHER,2019-12-20,http://jjc.macombgov.org/JJC-Home,JUVENILE,140,0.00895943879387,1133.9021198057355,1.956356869e-06,84,84,,,,,,,,,,
20,21,Macomb County Jail,MCMMI,Macomb County,MI,ICS,,2021-03-06T02:48:20.511Z,,,MACOMB COUNTY JAIL,"43565 Elizabeth Rd, Mt Clemens, MI 48043, United States",-82.8887919,42.6169129,Macomb County,ChIJs-DID2kgJYgRa3uAE5VQTAc,MI,1720,1721,10001367,MACOMB COUNTY JAIL,43565 ELIZABETH RD,MOUNT CLEMENS,MI,48043,-999,(586) 469-5151,COUNTY,OPEN,1148,MACOMB,26099,USA,922140,CORRECTIONAL INSTITUTIONS,http://sheriff.macombgov.org/Sheriff-Home,2018-03-21,IMAGERY/OTHER,2019-12-20,https://sheriff.macombgov.org/Sheriff-Home,MEDIUM,1238,0.0065746834195,831.9550335442088,1.733263625e-06,100,100,,,,,,,,,,
21,22,Mason County Jail,MSNMI,Mason County Sheriffs Office,MI,ICS,,2021-03-06T02:48:21.377Z,,,MASON COUNTY JAIL,"302 N Delia St, Ludington, MI 49431, United States",-86.4436482,43.9578619,Mason County,ChIJiZ5JKckQHIgRL7mvCHAJKsE,MI,3328,3329,10005167,MASON COUNTY JAIL,306 NORTH DELIA STREET,LUDINGTON,MI,49431,-999,(231) 843-3475,COUNTY,OPEN,57,MASON,26105,USA,922140,CORRECTIONAL INSTITUTIONS,https://masoncountysheriff.org/departments/jail-and-corrections/,2016-02-15,IMAGERY/OTHER,2019-12-20,http://masoncountysheriff.org/,MAXIMUM,104,0.00232066917343,301.1718314943731,2.66387896e-07,100,100,,,,,,,,,,
22,23,Mecosta County Jail,MCAMI,Mecosta County,MI,ICS,,2021-03-06T02:48:22.030Z,,,MECOSTA COUNTY JAIL,"225 S Stewart Ave, Big Rapids, MI 49307, United States",-85.4783047,43.6960566,Mecosta County,ChIJyRNJ_inTGIgRUbTHi2XIsJw,MI,3734,3735,10005175,MECOSTA COUNTY JAIL,225 SOUTH STEWART,BIG RAPIDS,MI,49307,-999,(231) 592-0156,COUNTY,OPEN,-999,MECOSTA,26107,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.michigan.gov/documents/corrections/JPIS_-_CY_2010_344047_7.pdf,2016-02-15,IMAGERY/OTHER,2019-12-20,http://www.mecostacounty.org/mecostacountysheriff.html,NOT AVAILABLE,97,0.00518146462518,657.6441890847838,6.80784298e-07,100,100,,,,,,,,,,
23,24,Monroe Adult Detention,MNRMI,Monroe County,MI,ICS,,2021-03-06T02:48:22.883Z,,,MONROE COUNTY INMATE DORMITORY FACILITY,"7000 E Dunbar Rd, Monroe, MI 48161, United States",-83.3933407,41.8955758,Monroe County,ChIJA9wVgDtvO4gRfCD-Fu3_vhA,MI,2666,2667,10003852,MONROE COUNTY INMATE DORMITORY FACILITY,7000 E DUNBAR RD,MONROE,MI,48161,-999,(734) 240-8000,COUNTY,OPEN,182,MONROE,26115,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.michigan.gov/documents/corrections/JPIS_-_CY_2010_344047_7.pdf, http://www.co.monroe.mi.us/officials_and_departments/officials/sheriff/index.php",2016-02-15,IMAGERY/OTHER,2019-12-20,https://www.co.monroe.mi.us/officials_and_departments/officials/sheriff/jail_information.php,MINIMUM,400,0.00542805743345,664.194493320716,1.313540562e-06,100,49,,,,,,,,,,
24,25,Inmate Dormitory Facility,MNRMI,Monroe County,MI,ICS,,2021-03-06T02:48:23.756Z,,,MONROE COUNTY INMATE DORMITORY FACILITY,"7000 E Dunbar Rd, Monroe, MI 48161, United States",-83.3933407,41.8955758,Monroe County,ChIJA9wVgDtvO4gRfCD-Fu3_vhA,MI,2666,2667,10003852,MONROE COUNTY INMATE DORMITORY FACILITY,7000 E DUNBAR RD,MONROE,MI,48161,-999,(734) 240-8000,COUNTY,OPEN,182,MONROE,26115,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.michigan.gov/documents/corrections/JPIS_-_CY_2010_344047_7.pdf, http://www.co.monroe.mi.us/officials_and_departments/officials/sheriff/index.php",2016-02-15,IMAGERY/OTHER,2019-12-20,https://www.co.monroe.mi.us/officials_and_departments/officials/sheriff/jail_information.php,MINIMUM,400,0.00542805743345,664.194493320716,1.313540562e-06,100,100,,,,,,,,,,
